,Version,Success,Description
0,1.10.0,N,Library loading error.
1,1.11.0,N,Library loading error.
2,1.11.0-rc1,N,Library loading error.
3,1.11.1,N,Library loading error.
4,1.11.2,N,Library loading error.
5,1.11.2-rc1,N,Library loading error.
6,1.12.0,N,Library loading error.
7,1.13.0,N,Library loading error.
8,1.14.0,N,Library loading error.
9,1.14.1,N,Library loading error.
10,1.15.0,N,Library loading error.
11,1.16.0,N,Library loading error.
12,1.17.0,N,Library loading error.
13,1.17.1,N,Library loading error.
14,1.3.2,Y,
15,1.4.0,Y,
16,1.4.0-rc1,Y,
17,1.4.1,Y,
18,1.5.0,Y,
19,1.5.1-rc1,Y,
20,1.5.1-rc2,Y,
21,1.6.0,Y,
22,1.6.1,N,Library loading error.
23,1.6.1-rc1,N,Library loading error.
24,1.7.0,N,Library loading error.
25,1.8.0,N,Library loading error.
26,1.9.0,N,Library loading error.
