,Version,Success,Description
0,0.2.0,Y,
1,0.3.1,Y,
2,0.3.10,Y,
3,0.3.12,Y,
4,0.3.13,Y,
5,0.3.14,Y,
6,0.3.15,Y,
7,0.3.16,Y,
8,0.3.17,Y,
9,0.3.18,Y,
10,0.3.19,Y,
11,0.3.2,Y,
12,0.3.20,Y,
13,0.3.22,Y,
14,0.3.23,Y,
15,0.3.24,Y,
16,0.3.4,Y,
17,0.3.5,Y,
18,0.3.6,Y,
19,0.3.7,Y,
20,0.3.8,Y,
21,0.3.9,Y,
22,1.0.0,Y,
23,1.0.2,Y,
24,1.0.3,Y,
25,1.0.4,Y,
26,1.2.0,Y,
27,1.3.0,Y,
28,1.3.1,Y,
29,1.3.2,Y,
30,1.4.0,Y,
31,1.4.0-rc.1,Y,
32,1.4.0-rc.2,Y,
33,1.4.0-rc.3,Y,
34,1.4.1,Y,
35,1.4.2,Y,
36,1.4.3,Y,
37,1.4.4,Y,
38,1.4.5,Y,
39,1.4.5-rc.1,Y,
40,1.4.6,Y,
41,1.4.6-rc.1,Y,
42,1.4.6-rc.2,Y,
43,1.4.7,Y,
44,1.4.8-rc.1,Y,
45,1.5.0,Y,
46,1.5.0-rc.1,Y,
47,1.5.1,Y,
48,1.5.2,Y,
49,1.5.2-rc.1,Y,
50,2.0.0-beta.0,N,Library loading error.
51,2.0.0-beta.1,N,Library loading error.
52,2.0.0-beta.2,N,Library loading error.
53,2.0.0-beta.3,N,Library loading error.
