,Version,Success,Description
0,3.0.5,Y,
1,4.0.0,Y,
2,4.0.1,Y,
3,4.0.2,Y,
4,4.0.3,Y,
5,4.0.5,Y,
6,4.0.6,Y,
7,4.0.7,Y,
8,4.0.8,Y,
9,4.1.0,Y,
10,4.1.1,Y,
11,4.1.2,Y,
12,4.1.3,Y,
13,5.1.8-beta.0,N,Library loading error.
14,5.2.0-beta.1,N,Library loading error.
15,5.2.0-beta.2,N,Library loading error.
16,5.2.0-beta.3,N,Library loading error.
17,5.2.0-beta.4,N,Library loading error.
18,5.2.0-beta.5,N,Library loading error.
19,5.2.1,N,Library loading error.
20,5.2.2,N,Library loading error.
21,5.3.3,N,Library loading error.
22,5.3.4,N,Library loading error.
23,5.3.5,N,Library loading error.
24,5.3.6,N,Library loading error.
25,5.3.7,N,Library loading error.
26,5.3.8,N,Library loading error.
27,5.3.9,N,Library loading error.
28,5.4.0,N,Library loading error.
29,5.4.1,N,Library loading error.
30,5.4.2,N,Library loading error.
