,Version,Success,Description
0,3.10.0,N,Library loading error.
1,3.10.1,N,Library loading error.
2,3.10.2,N,Library loading error.
3,3.11.0,N,Library loading error.
4,3.12.0,N,Library loading error.
5,3.12.0-alpha.1,N,Library loading error.
6,3.13.0,N,Library loading error.
7,3.13.1,N,Library loading error.
8,3.13.2,N,Library loading error.
9,3.14.0,N,Library loading error.
10,3.14.1-beta.1,N,Library loading error.
11,3.15.0,N,Library loading error.
12,3.15.1,N,Library loading error.
13,3.15.1-beta.1,N,Library loading error.
14,3.15.2,Y,
15,3.15.3,Y,
16,3.15.4,Y,
17,3.16.0,Y,
18,3.16.1,Y,
19,3.16.2,Y,
20,3.16.3,Y,
21,3.16.4,Y,
22,3.16.5,Y,
23,3.16.6,Y,
24,3.16.7,Y,
25,3.17.0,Y,
26,3.18.0,N,Library loading error.
27,3.18.1,Y,
28,3.18.2,Y,
29,3.18.3,Y,
30,3.18.4,Y,
31,3.18.5,Y,
32,3.8.2,N,Library loading error.
33,3.8.3,N,Library loading error.
34,3.9.0,N,Library loading error.
