,Version,Success,Description
0,1.3.0,Y,
1,1.4.0,Y,
2,1.4.1,Y,
3,1.4.3,Y,
4,1.5.0,Y,
5,1.5.1,Y,
6,1.5.2,Y,
7,1.5.3,Y,
8,1.6.0,Y,
9,1.6.1,Y,
10,2.0.0,Y,
11,2.1.0,Y,
12,2.1.1,Y,
13,2.2.0,Y,
14,2.2.1,Y,
15,2.2.3,Y,
16,2.2.4,Y,
17,2.2.5,Y,
18,2.2.6,Y,
19,2.2.7,Y,
20,2.2.8,Y,
21,2.2.9,Y,
22,3.0.0-rc2,N,Unknown fault.
23,3.0.0-rc3,Y,
24,3.0.0-rc4,Y,
25,3.0.1,Y,
26,3.0.10,Y,
27,3.0.11,Y,
28,3.0.2,Y,
29,3.0.3,Y,
30,3.0.4,Y,
31,3.0.5,Y,
32,3.0.6,Y,
33,3.0.7,Y,
34,3.0.8,Y,
35,3.0.9,Y,
36,4.0.0,Y,
37,4.0.0-rc3,Y,
38,4.0.0-rc4,Y,
39,4.0.1,Y,
40,4.0.2,Y,
41,4.0.3,Y,
42,4.1.0,Y,
43,4.1.1,Y,
44,4.2.1,Y,
45,4.2.2,Y,
46,4.2.3,Y,
47,4.3.0,Y,
48,4.3.1,Y,
49,4.3.2,Y,
50,4.3.3,Y,
51,4.3.4,Y,
52,4.3.5,Y,
53,4.4.0,N,Unknown fault.
54,4.4.1,N,Unknown fault.
55,4.4.2,N,Unknown fault.
56,4.4.3,N,Unknown fault.
57,4.4.4,N,Unknown fault.
58,4.4.5,N,Unknown fault.
59,4.5.0,N,Unknown fault.
60,4.5.1,N,Unknown fault.
61,4.5.2,N,Unknown fault.
62,4.5.3,N,Unknown fault.
63,4.5.4,N,Unknown fault.
64,4.5.5,N,Unknown fault.
65,4.5.6,N,Unknown fault.
66,4.6.0,N,Unknown fault.
67,4.6.1,N,Unknown fault.
68,4.6.2,N,Unknown fault.
69,4.7.0,N,Unknown fault.
70,4.7.1,N,Unknown fault.
71,4.7.2,N,Unknown fault.
72,4.7.3,N,Unknown fault.
73,4.8.0,N,Unknown fault.
74,4.8.1,N,Unknown fault.
75,4.8.2,N,Unknown fault.
76,4.8.3,N,Unknown fault.
77,4.8.4,N,Unknown fault.
78,4.8.5,N,Unknown fault.
79,4.8.6,N,Unknown fault.
80,4.8.7,N,Unknown fault.
81,4.8.8,N,Unknown fault.
82,5.0.0,N,Unknown fault.
83,5.0.0-alpha,N,Unknown fault.
84,5.0.0-alpha.3,N,Unknown fault.
85,5.0.0-rc,N,Unknown fault.
86,5.0.0-rc.2,N,Unknown fault.
87,5.0.0-rc.3,N,Unknown fault.
88,5.0.1,N,Unknown fault.
89,5.0.2,N,Unknown fault.
90,5.0.3,N,Unknown fault.
91,5.0.4,N,Unknown fault.
92,5.1.0,N,Unknown fault.
93,5.1.1,N,Unknown fault.
94,5.1.2,N,Unknown fault.
95,5.1.3,N,Unknown fault.
96,5.1.4,N,Unknown fault.
97,5.1.5,N,Unknown fault.
98,5.2.0,N,Unknown fault.
99,5.2.1,N,Unknown fault.
100,5.2.2,N,Unknown fault.
101,5.2.3,N,Unknown fault.
102,5.2.4,N,Unknown fault.
103,5.2.5,N,Unknown fault.
104,5.3.0,N,Unknown fault.
105,5.3.1,N,Unknown fault.
106,5.3.10,N,Unknown fault.
107,5.3.11,N,Unknown fault.
108,5.3.12,N,Unknown fault.
109,5.3.2,N,Unknown fault.
110,5.3.3,N,Unknown fault.
111,5.3.4,N,Unknown fault.
112,5.3.5,N,Unknown fault.
113,5.3.6,N,Unknown fault.
114,5.3.7,N,Unknown fault.
115,5.3.8,N,Unknown fault.
116,5.3.9,N,Unknown fault.
117,5.4.0-rc.1,N,Library loading error.
118,5.4.0-rc.2,N,Library loading error.
119,5.4.0-rc.3,N,Library loading error.
120,6.0.0,N,Library loading error.
121,6.0.0-rc,N,Library loading error.
122,6.0.0-rc.2,N,Library loading error.
123,6.0.0-rc.3,N,Library loading error.
124,6.0.1,N,Library loading error.
125,6.0.2,N,Library loading error.
126,6.0.3,N,Library loading error.
127,6.0.4,N,Library loading error.
128,6.1.0,N,Library loading error.
129,6.1.0-rc,N,Library loading error.
130,6.1.0-rc.2,N,Library loading error.
131,6.1.0-rc.3,N,Library loading error.
132,6.1.0-rc.4,N,Library loading error.
133,6.1.0-rc.5,N,Library loading error.
134,6.1.0-rc.6,N,Library loading error.
135,6.1.1,N,Library loading error.
136,6.1.2,N,Library loading error.
137,6.1.3,N,Library loading error.
138,6.2.0,N,Library loading error.
139,6.2.1,N,Library loading error.
140,6.2.2,N,Library loading error.
141,6.3.0,N,Library loading error.
142,6.3.1,N,Library loading error.
143,6.3.2,N,Library loading error.
144,6.4.0,N,Library loading error.
145,6.4.2,N,Library loading error.
146,6.5.0,N,Library loading error.
147,6.5.0-rc,N,Library loading error.
148,6.5.0-rc.2,N,Library loading error.
149,6.5.0-rc.3,N,Library loading error.
150,6.5.0-rc.4,N,Library loading error.
151,6.5.1,N,Library loading error.
152,6.5.10,N,Library loading error.
153,6.5.2,N,Library loading error.
154,6.5.3,N,Library loading error.
155,6.5.4,N,Library loading error.
156,6.5.5,N,Library loading error.
157,6.5.6,N,Library loading error.
158,6.5.7,N,Library loading error.
159,6.5.8,N,Library loading error.
160,6.5.9,N,Library loading error.
161,7.0.0,Y,
162,7.0.0-alpha,N,Library loading error.
163,7.0.0-alpha.2,N,Library loading error.
164,7.0.0-alpha.3,N,Library loading error.
165,7.0.0-beta.2,N,Library loading error.
166,7.0.0-beta.3,N,Library loading error.
167,7.0.0-beta.4,N,Library loading error.
168,7.0.0-beta.5,Y,
169,7.0.0-beta.6,Y,
170,7.0.1,Y,
171,7.0.2,Y,
172,7.0.3,Y,
173,7.0.4,Y,
174,7.0.5,Y,
175,7.1.0,Y,
176,7.1.0-alpha,Y,
177,7.1.1,Y,
178,7.1.2,Y,
179,7.1.3,Y,
180,7.1.4,Y,
181,7.2.0,Y,
182,7.2.0-beta,Y,
183,7.2.0-beta.2,Y,
184,7.2.0-beta.3,Y,
185,7.2.0-beta.4,Y,
186,7.2.0-rc,Y,
187,7.2.0-rc.2,Y,
188,7.2.0-rc.3,Y,
189,7.2.1,Y,
190,7.2.2,Y,
191,7.2.3,Y,
192,7.2.4,Y,
193,7.3.0,Y,
194,7.3.0-rc,Y,
195,7.3.0-rc.2,Y,
196,7.3.1,Y,
197,8.0.0-alpha.0,Y,
198,8.0.0-alpha.1,Y,
199,8.0.0-alpha.2,Y,
200,8.0.0-alpha.3,Y,
201,8.0.0-beta.0,Y,
202,8.0.0-beta.1,Y,
203,8.0.0-beta.2,Y,
204,8.0.0-beta.3,Y,
205,8.0.0-beta.4,N,Library loading error.
206,8.0.0-beta.5,Y,
