,Version,Success,Description
0,0.0.1,Y,
1,0.0.10,Y,
2,0.0.11,Y,
3,0.0.12,Y,
4,0.0.13,Y,
5,0.0.14,Y,
6,0.0.15,Y,
7,0.0.16,Y,
8,0.0.17,Y,
9,0.0.18,Y,
10,0.0.2,Y,
11,0.0.3,Y,
12,0.0.4,Y,
13,0.0.5,Y,
14,0.0.6,Y,
15,0.0.7,Y,
16,0.0.8,Y,
17,0.0.9,Y,
18,0.19.0,Y,
19,0.20.0,Y,
20,0.21.0,Y,
21,0.22.0,Y,
22,0.23.0,Y,
23,0.23.1,Y,
24,0.24.0,Y,
25,0.25.0,Y,
26,0.26.0,Y,
27,0.27.0,Y,
28,0.28.0,Y,
29,0.29.0,Y,
30,0.30.0,Y,
31,0.31.0,Y,
32,0.32.0,Y,
33,0.33.0,Y,
34,1.0.0,Y,
35,1.0.1,Y,
36,1.0.2,Y,
37,1.1.2,Y,
38,1.1.3,Y,
39,1.1.4,Y,
40,1.1.5,Y,
41,1.1.6,Y,
42,1.1.7,Y,
43,1.10.0,Y,
44,1.11.0,Y,
45,1.12.0,Y,
46,1.13.0,Y,
47,1.14.0,Y,
48,1.15.0,Y,
49,1.15.1,Y,
50,1.15.2,Y,
51,1.15.3,Y,
52,1.15.4,Y,
53,1.15.5,Y,
54,1.16.1,Y,
55,1.16.2,Y,
56,1.16.3,Y,
57,1.16.4,Y,
58,1.16.5,Y,
59,1.16.6,Y,
60,1.17.0,Y,
61,1.17.1,Y,
62,1.18.1,Y,
63,1.18.2,Y,
64,1.19.0,Y,
65,1.2.0,Y,
66,1.2.1,Y,
67,1.3.0,Y,
68,1.3.1,Y,
69,1.3.2,Y,
70,1.3.3,Y,
71,1.3.4,Y,
72,1.4.0,Y,
73,1.4.1,Y,
74,1.4.10,Y,
75,1.4.11,Y,
76,1.4.12,Y,
77,1.4.13,Y,
78,1.4.14,Y,
79,1.4.15,Y,
80,1.4.17,Y,
81,1.4.18,Y,
82,1.4.2,Y,
83,1.4.3,Y,
84,1.4.4,Y,
85,1.4.5,Y,
86,1.4.6,Y,
87,1.4.7,Y,
88,1.4.8,Y,
89,1.4.9,Y,
90,1.5.0,Y,
91,1.6.0,Y,
92,1.7.2,Y,
93,1.7.3,Y,
94,1.8.0,Y,
95,1.9.0,Y,
96,1.9.1,Y,
