,Version,Success,Description
0,1.24.4,Y,
1,1.24.5,Y,
2,1.24.6,Y,
3,1.24.7,Y,
4,1.25.0,Y,
5,1.25.1,Y,
6,1.25.2,Y,
7,1.25.3,Y,
8,1.26.0,Y,
9,1.26.1,Y,
10,1.27.0,Y,
11,1.27.1,Y,
12,1.27.2,Y,
13,1.27.3,Y,
14,1.27.4,Y,
15,1.28.0,Y,
16,1.28.1,Y,
17,1.28.2,Y,
18,1.28.3,Y,
19,1.28.4,Y,
20,1.28.6,Y,
21,1.29.0,Y,
22,1.30.0,Y,
23,1.31.0,Y,
24,1.32.0,Y,
25,1.32.1,Y,
26,1.32.2,Y,
27,1.32.3,Y,
28,1.32.4,Y,
29,1.33.0,Y,
30,1.33.1,Y,
31,1.34.0,Y,
32,1.35.0,Y,
33,1.35.1,Y,
34,1.35.2,Y,
35,1.35.3,Y,
36,1.36.0,Y,
37,1.36.0-dev,Y,
38,1.36.1,Y,
39,1.36.2,Y,
40,1.37.0,Y,
41,1.37.1,Y,
42,1.38.0,Y,
43,1.38.1,Y,
44,1.38.2,Y,
45,1.38.3,Y,
46,1.38.4,Y,
47,1.39.0,Y,
48,1.39.1,Y,
49,1.39.2,Y,
50,1.39.3,Y,
51,1.39.4,Y,
52,1.40.0,Y,
53,1.40.1,Y,
54,1.40.2,Y,
55,1.40.3,Y,
56,1.40.4,Y,
57,1.40.5,Y,
58,1.41.0,Y,
59,1.41.1,Y,
60,1.41.2,Y,
61,1.42.0,Y,
62,1.43.0,Y,
63,1.43.1,Y,
64,1.44.0,Y,
65,1.44.1,Y,
66,1.44.2,Y,
67,1.45.0,Y,
68,1.45.1,Y,
69,1.45.2,Y,
70,1.45.3,Y,
71,1.46.0,Y,
72,1.46.1,Y,
73,1.46.2,Y,
74,1.46.3,Y,
75,1.46.4,Y,
76,1.46.5,Y,
77,1.47.0,Y,
78,1.47.1,Y,
79,1.47.2,Y,
80,1.48.0,Y,
81,1.48.1,Y,
82,1.49.0,Y,
83,1.49.1,Y,
84,1.49.2,Y,
85,1.49.3,Y,
86,1.49.4,Y,
87,1.50.0,Y,
88,1.50.1,Y,
89,1.50.2,Y,
90,1.51.0,Y,
91,1.51.1,Y,
92,1.51.2,Y,
93,1.51.3,Y,
94,1.51.4,Y,
95,1.51.5,Y,
96,1.51.6,Y,
97,1.51.7,Y,
98,1.52.0,Y,
99,1.52.1,Y,
100,1.52.2,Y,
101,1.52.3,Y,
102,1.52.4,Y,
103,1.52.5,Y,
104,1.52.6,Y,
105,1.53.0,Y,
106,1.53.1,Y,
107,1.53.2,Y,
108,1.53.3,Y,
109,1.53.4,Y,
110,1.54.0,Y,
111,1.54.1,Y,
112,1.55.0,Y,
113,1.55.1,Y,
114,1.55.2,Y,
115,1.55.3,Y,
116,1.55.4,Y,
117,1.56.0,Y,
118,1.57.0,Y,
119,1.57.1,Y,
120,1.58.0,Y,
121,1.58.1,Y,
122,1.58.2,Y,
123,1.59.0,Y,
124,1.60.0,Y,
125,1.61.0,Y,
126,1.61.1,Y,
127,1.61.2,Y,
128,1.61.3,Y,
129,1.62.0,Y,
130,1.62.1,Y,
131,1.62.2,Y,
132,1.63.0,Y,
133,1.63.1,Y,
134,1.63.2,Y,
135,1.63.3,Y,
136,1.63.4,Y,
137,1.63.5,Y,
138,1.63.6,Y,
139,1.64.0,Y,
140,1.64.1,Y,
141,1.64.2,Y,
142,1.64.3,Y,
143,1.64.4,Y,
144,1.65.0,Y,
145,1.65.1,Y,
146,1.65.2,Y,
147,1.65.3,Y,
148,1.65.4,Y,
149,1.65.5,Y,
150,1.66.0,Y,
151,1.66.1,Y,
152,1.66.2,Y,
153,1.66.3,Y,
154,1.67.0,Y,
155,1.67.1,Y,
156,1.67.2,Y,
157,1.67.3,Y,
