,Version,Success,Description
0,0.0.20130711,N,Unknown fault.
1,0.0.20130801,N,Library loading error.
2,0.0.20130808,N,Library loading error.
3,0.0.20130815,N,Library loading error.
4,0.0.20130816,N,Unknown fault.
5,0.0.20130829,N,Library loading error.
6,0.0.20130905,N,Unknown fault.
7,0.0.20130912,N,Library loading error.
8,0.0.20131003,N,Unknown fault.
9,0.0.20131010,N,Unknown fault.
10,0.0.20131025,N,Unknown fault.
11,0.0.20131107,N,Unknown fault.
12,0.1.0,N,Unknown fault.
13,0.1.1,N,Library loading error.
14,0.1.2,N,Library loading error.
15,0.1.3,N,Library loading error.
16,0.1.4,N,Library loading error.
17,0.2.0,N,Library loading error.
18,0.2.1,N,Library loading error.
19,0.2.2,N,Library loading error.
20,0.2.3,N,Library loading error.
21,0.2.4,N,Library loading error.
22,0.3.0,N,Library loading error.
23,0.3.1,N,Library loading error.
24,0.3.2,N,Library loading error.
25,0.3.3,N,Library loading error.
26,0.3.4,N,Library loading error.
27,0.3.5,N,Library loading error.
28,0.3.6,N,Library loading error.
29,0.4.0,N,Library loading error.
30,0.4.1,N,Library loading error.
31,0.4.2,N,Library loading error.
32,0.5.0,N,Library loading error.
33,0.5.1,N,Library loading error.
34,0.5.2,N,Library loading error.
35,0.5.3,N,Library loading error.
36,0.5.3-rc,N,Library loading error.
37,0.5.3-rc2,N,Library loading error.
38,0.5.4,N,Library loading error.
39,0.5.5,N,Library loading error.
40,0.5.5-rc1,N,Library loading error.
41,0.5.6,N,Library loading error.
