,Version,Success,Description
0,0.0.13,Y,
1,0.0.15,Y,
2,0.0.19,Y,
3,0.0.21,Y,
4,0.0.22,Y,
5,0.0.3,N,Library loading error.
6,0.0.5,Y,
7,0.0.7,Y,
8,1.0.0,Y,
9,10.0.0,N,Library loading error.
10,10.0.1,N,Library loading error.
11,10.0.2,N,Library loading error.
12,11.0.0,N,Library loading error.
13,11.0.1,N,Library loading error.
14,11.0.2,N,Library loading error.
15,11.0.3,N,Library loading error.
16,11.0.4,N,Library loading error.
17,11.0.5,N,Library loading error.
18,2.0.0,Y,
19,2.0.1,Y,
20,2.0.2,Y,
21,2.0.3,Y,
22,2.0.4,Y,
23,2.0.5,Y,
24,3.0.0,Y,
25,3.0.1,Y,
26,3.0.2,Y,
27,3.0.3,Y,
28,3.0.4,Y,
29,3.1.0,Y,
30,3.1.1,Y,
31,3.1.2,Y,
32,3.1.3,Y,
33,3.1.3-lw,Y,
34,3.1.5,Y,
35,3.1.6,Y,
36,3.1.7,Y,
37,3.2.0,Y,
38,3.2.1,Y,
39,3.3.0,Y,
40,3.3.1,Y,
41,3.3.2,Y,
42,3.3.3,Y,
43,3.4.0,Y,
44,3.4.1,Y,
45,3.4.2,Y,
46,3.5.0,Y,
47,3.6.0,Y,
48,3.6.1,Y,
49,3.6.2,Y,
50,3.6.3,Y,
51,3.7.1,Y,
52,3.8.0,Y,
53,4.0.0,Y,
54,4.1.0,Y,
55,4.2.0,Y,
56,4.2.2,Y,
57,4.2.3,Y,
58,4.2.4,Y,
59,4.2.5,Y,
60,4.2.6,Y,
61,4.2.7,Y,
62,4.3.0,Y,
63,4.3.2,Y,
64,4.3.3,Y,
65,4.3.4,Y,
66,8.7.1,N,Library loading error.
67,8.7.2,N,Library loading error.
68,8.7.3,N,Library loading error.
69,8.7.4,N,Library loading error.
70,8.7.5,N,Library loading error.
71,8.7.6,N,Library loading error.
72,9.0.0,N,Library loading error.
73,9.0.0-beta-7,N,Library loading error.
74,9.0.0-beta-8,N,Library loading error.
75,9.0.0-beta.1,N,Library loading error.
76,9.0.0-beta.2,N,Library loading error.
77,9.0.0-beta.3,N,Library loading error.
78,9.0.0-beta.5,N,Library loading error.
79,9.0.0-beta.6,N,Library loading error.
80,9.0.0-rc.0,N,Library loading error.
81,9.0.0-rc.1,N,Library loading error.
82,9.0.0-rc.10,N,Library loading error.
83,9.0.0-rc.11,N,Library loading error.
84,9.0.0-rc.12,N,Library loading error.
85,9.0.0-rc.13,N,Library loading error.
86,9.0.0-rc.14,N,Library loading error.
87,9.0.0-rc.15,N,Library loading error.
88,9.0.0-rc.16,N,Library loading error.
89,9.0.0-rc.17,N,Library loading error.
90,9.0.0-rc.18,N,Library loading error.
91,9.0.0-rc.19,N,Library loading error.
92,9.0.0-rc.2,N,Library loading error.
93,9.0.0-rc.20,N,Library loading error.
94,9.0.0-rc.3,N,Library loading error.
95,9.0.0-rc.4,N,Library loading error.
96,9.0.0-rc.5,N,Library loading error.
97,9.0.0-rc.6,N,Library loading error.
98,9.0.0-rc.7,N,Library loading error.
99,9.0.0-rc.8,N,Library loading error.
100,9.0.0-rc.9,N,Library loading error.
101,9.0.1,N,Library loading error.
102,9.0.2,N,Library loading error.
103,9.1.0,N,Library loading error.
104,9.2.0,N,Library loading error.
105,9.2.1,N,Library loading error.
106,9.3.0,N,Library loading error.
107,9.3.1,N,Library loading error.
108,9.3.2,N,Library loading error.
109,9.3.3,N,Library loading error.
110,9.3.4,N,Library loading error.
111,9.3.5,N,Library loading error.
112,9.3.6,N,Library loading error.
113,9.4.0,N,Library loading error.
114,9.4.1,N,Library loading error.
115,9.4.2,N,Library loading error.
