,Version,Success,Description
0,0.2.0,Y,
1,0.2.1,Y,
2,0.2.2,Y,
3,0.2.3,Y,
4,0.2.4,Y,
5,0.2.5,Y,
6,0.2.6,Y,
7,0.3.0,Y,
8,0.3.1,Y,
9,0.3.2,Y,
10,0.3.3,Y,
11,0.3.4,Y,
12,0.3.5,Y,
13,0.3.6,Y,
14,0.3.7,Y,
15,0.3.8,Y,
16,0.4.0,Y,
17,0.4.1,Y,
18,0.4.2,Y,
19,0.5.0,Y,
20,0.5.1,Y,
21,0.5.2,Y,
22,0.5.3,Y,
23,0.6.0,Y,
24,0.6.1,Y,
25,0.6.2,Y,
26,0.6.3,Y,
27,0.6.4,Y,
28,1.0.0,Y,
29,1.0.0-alpha.1,Y,
30,1.0.0-alpha.2,Y,
31,1.0.0-alpha.3,Y,
32,1.0.0-alpha.4,Y,
33,1.0.0-alpha.5,Y,
34,1.0.0-alpha.6,Y,
35,1.0.0-alpha.7,Y,
36,1.0.0-alpha.8,Y,
37,1.0.0-beta.1,Y,
38,1.0.0-beta.2,Y,
39,1.0.0-beta.3,Y,
40,1.0.0-beta.4,Y,
41,1.0.0-beta.5,Y,
42,1.0.1,Y,
43,1.0.2,Y,
44,1.0.3,Y,
45,1.0.4,Y,
46,1.0.5,Y,
47,1.0.6,Y,
48,1.0.7,Y,
49,1.0.8,Y,
50,1.10.0,N,Library loading error.
51,1.10.1,N,Library loading error.
52,1.10.2,N,Library loading error.
53,1.10.3,N,Library loading error.
54,1.10.4,N,Library loading error.
55,1.10.5,N,Library loading error.
56,1.10.6,N,Library loading error.
57,1.10.7,N,Library loading error.
58,1.10.8,N,Library loading error.
59,1.11.0,N,Library loading error.
60,1.11.1,N,Library loading error.
61,1.12.0,N,Library loading error.
62,1.12.1,N,Library loading error.
63,1.12.2,N,Library loading error.
64,1.12.3,N,Library loading error.
65,1.12.4,N,Library loading error.
66,1.12.5,N,Library loading error.
67,1.12.6,N,Library loading error.
68,1.12.7,N,Library loading error.
69,1.12.8,N,Library loading error.
70,1.12.9,N,Library loading error.
71,1.13.0,N,Library loading error.
72,1.13.0-next,N,Library loading error.
73,1.13.0-next.1,N,Library loading error.
74,1.14.0,N,Library loading error.
75,1.14.1,N,Library loading error.
76,1.14.2,N,Library loading error.
77,1.14.3,N,Library loading error.
78,1.14.4,N,Library loading error.
79,1.14.5,N,Library loading error.
80,1.14.6,N,Library loading error.
81,1.14.7,N,Library loading error.
82,1.15.0,N,Library loading error.
83,1.16.0,N,Library loading error.
84,1.16.1,N,Library loading error.
85,1.5.0,Y,
86,1.5.1,Y,
87,1.5.1-pre,Y,
88,1.5.1-pre.2,Y,
89,1.5.2,Y,
90,1.6.0,Y,
91,1.7.0,Y,
92,1.8.0,Y,
93,1.8.1,Y,
94,1.8.2,N,Library loading error.
95,1.8.3,N,Library loading error.
96,1.8.4,N,Library loading error.
97,1.8.5,N,Library loading error.
98,1.8.6,N,Library loading error.
99,1.9.0,N,Library loading error.
100,1.9.1,N,Library loading error.
101,1.9.2,N,Library loading error.
102,1.9.3,N,Library loading error.
103,1.9.4,N,Library loading error.
104,1.9.5,N,Library loading error.
105,1.9.6,N,Library loading error.
106,1.9.7,N,Library loading error.
107,1.9.8,N,Library loading error.
108,1.9.9,N,Library loading error.
109,2.10.0,N,Unknown fault.
110,2.10.1,N,Unknown fault.
111,2.10.2,N,Unknown fault.
112,2.11.0,N,Unknown fault.
113,2.11.1,N,Unknown fault.
114,2.11.2,N,Unknown fault.
115,2.11.3,N,Unknown fault.
116,2.11.4,N,Unknown fault.
117,2.11.5,N,Unknown fault.
118,2.11.6,N,Unknown fault.
119,2.11.7,N,Unknown fault.
120,2.11.8,N,Unknown fault.
121,2.3.3,N,Unknown fault.
122,2.4.0,N,Unknown fault.
123,2.4.1,N,Unknown fault.
124,2.4.2,N,Unknown fault.
125,2.4.3,N,Unknown fault.
126,2.4.4,N,Unknown fault.
127,2.5.0,N,Unknown fault.
128,2.5.1,N,Unknown fault.
129,2.5.2,N,Unknown fault.
130,2.5.3,N,Unknown fault.
131,2.5.4,N,Unknown fault.
132,2.6.0,N,Unknown fault.
133,2.7.0,N,Unknown fault.
134,2.7.1,N,Unknown fault.
135,2.7.2,N,Unknown fault.
136,2.8.0,N,Unknown fault.
137,2.8.1,N,Unknown fault.
138,2.8.2,N,Unknown fault.
139,2.8.3,N,Unknown fault.
140,2.8.4,N,Unknown fault.
141,2.8.5,N,Unknown fault.
142,2.8.6,N,Unknown fault.
143,2.9.0,N,Unknown fault.
144,2.9.1,N,Unknown fault.
145,2.9.2,N,Unknown fault.
146,2.9.3,N,Unknown fault.
