,Version,Success,Description
0,1.0.0,Y,
1,1.1.0,Y,
2,2.0.0,Y,
3,2.0.1,Y,
4,2.0.2,Y,
5,2.1.0,Y,
6,2.1.1,Y,
7,2.1.2,Y,
8,2.2.0,Y,
9,2.2.1,Y,
10,2.2.2,Y,
11,2.2.3,Y,
12,3.0.1,Y,
13,3.0.2,Y,
14,3.0.3,Y,
15,3.0.4,Y,
16,3.0.5,Y,
17,3.0.6,Y,
18,3.1.0,Y,
19,3.2.0,Y,
20,3.2.1,Y,
21,3.3.0,Y,
22,3.3.1,Y,
23,3.4.0,Y,
24,3.5.0,Y,
25,3.6.0,Y,
26,4.0.0,Y,
27,4.0.1,Y,
28,4.0.2,Y,
29,4.0.3,Y,
30,5.0.0,Y,
31,5.1.0,Y,
32,5.2.0,Y,
33,5.2.1,Y,
34,5.3.0,Y,
35,5.3.1,Y,
36,5.3.2,Y,
37,5.4.0,Y,
38,5.4.1,Y,
39,5.4.2,Y,
40,5.4.3,Y,
41,5.4.4,Y,
42,5.4.5,Y,
43,6.0.0,Y,
44,6.0.1,Y,
45,6.0.2,Y,
46,6.0.3,Y,
47,6.0.4,Y,
48,6.0.5,Y,
49,6.0.6,Y,
50,6.0.7,Y,
51,6.1.0,Y,
52,6.1.1,Y,
53,6.1.2,Y,
54,6.2.0,Y,
55,6.2.1-prerelease,Y,
56,6.3.0,Y,
57,6.3.1,Y,
58,6.3.2,Y,
59,6.3.3,Y,
60,6.3.4,Y,
61,6.4.0,Y,
62,6.4.1,Y,
63,6.4.2,Y,
64,6.4.3,Y,
65,7.0.0,Y,
66,7.1.0,Y,
67,7.1.1,Y,
68,7.2.0,Y,
69,7.2.1,Y,
70,7.2.2,Y,
71,7.3.0,Y,
72,7.3.1,Y,
73,8.0.0,Y,
74,8.0.1,Y,
