,Version,Success,Description
0,2.0.3,Y,
1,2.0.4,Y,
2,2.0.5,Y,
3,2.1.0,Y,
4,2.1.1,Y,
5,2.1.2,Y,
6,2.2.0,Y,
7,2.2.1,Y,
8,2.3.0,Y,
9,2.3.1,Y,
10,2.3.2,Y,
11,2.4.0,Y,
12,2.4.1,Y,
13,2.5.0,Y,
14,2.5.1,Y,
15,2.6.0,Y,
16,2.6.1,Y,
17,2.6.2,Y,
18,2.7.0,Y,
19,2.7.1,Y,
20,2.8.0,Y,
21,2.8.1,Y,
22,2.8.2,Y,
23,2.8.3,Y,
24,2.8.4,Y,
25,2.8.5,Y,
26,2.8.6,Y,
27,2.8.7,Y,
28,2.8.8,Y,
29,3.0.0,Y,
30,3.0.0-alpha.0,Y,
31,3.0.0-alpha.1,Y,
32,3.0.0-alpha.10,Y,
33,3.0.0-alpha.11,Y,
34,3.0.0-alpha.12,Y,
35,3.0.0-alpha.2,Y,
36,3.0.0-alpha.3,Y,
37,3.0.0-alpha.4,Y,
38,3.0.0-alpha.5,Y,
39,3.0.0-alpha.6,Y,
40,3.0.0-alpha.7-for-vscode,Y,
41,3.0.0-alpha.8-for-vscode,Y,
42,3.0.0-alpha.9-for-vscode,Y,
43,3.0.1,Y,
44,3.0.2,Y,
45,3.0.3,Y,
46,3.1.0,Y,
47,3.1.1,Y,
48,4.0.0-alpha.0,Y,
49,4.0.0-alpha.1,Y,
50,4.0.0-alpha.2,Y,
51,4.0.0-alpha.3,Y,
52,4.0.0-alpha.4,Y,
53,4.0.0-alpha.5,Y,
54,4.0.0-alpha.6,Y,
55,4.0.0-alpha.7,Y,
56,4.0.0-alpha.8,Y,
