,Version,Success,Description
0,0.19.1,N,Library loading error.
1,0.20.0,N,Library loading error.
2,0.20.0-alpha.1,N,Library loading error.
3,0.20.1-alpha.1,Y,
4,0.20.1-alpha.2,Y,
5,0.21.0,Y,
6,0.21.0-alpha.1,Y,
7,0.21.0-alpha.2,Y,
8,0.21.0-alpha.3,Y,
9,0.21.1,Y,
10,0.21.2,Y,
11,0.21.3,Y,
12,0.22.0,Y,
13,0.22.0-alpha.1,Y,
14,0.22.0-alpha.2,Y,
15,0.22.0-alpha.3,Y,
16,0.22.1,Y,
17,0.23.0,Y,
18,0.23.0-alpha.1,Y,
19,0.23.1,Y,
20,0.23.2,Y,
21,0.23.3,Y,
22,0.23.4,Y,
23,0.24.0,Y,
24,0.24.0-alpha.1,Y,
25,0.24.1,Y,
26,0.25.0-alpha.1,Y,
27,0.25.0-alpha.2,Y,
