,Version,Success,Description
0,0.0.0,Y,
1,0.0.1,Y,
2,0.0.2,Y,
3,0.0.3,Y,
4,0.1.0,Y,
5,0.1.1,Y,
6,0.4.0,Y,
7,0.4.1,Y,
8,0.4.2,N,Library loading error.
9,0.4.4,Y,
10,0.5.0,Y,
11,0.5.1,Y,
12,0.5.2,Y,
13,0.5.3,Y,
14,0.6.0,Y,
15,0.7.0,Y,
16,0.7.1,Y,
17,0.7.2,Y,
18,0.8.0,Y,
19,0.8.1,Y,
20,0.8.10,Y,
21,0.8.11,Y,
22,0.8.12,Y,
23,0.8.2,Y,
24,0.8.3,Y,
25,0.8.4,Y,
26,0.8.5,Y,
27,0.8.6,Y,
28,0.8.7,Y,
29,0.8.8,Y,
30,0.8.9,Y,
31,0.9.0,Y,
32,0.9.1,Y,
33,0.9.2,Y,
34,0.9.3,Y,
35,0.9.4,Y,
36,0.9.5,Y,
37,0.9.6,Y,
38,0.9.7,Y,
39,1.0.0,Y,
40,1.0.1,Y,
41,1.1.0,N,Library loading error.
42,1.1.1,Y,
43,1.1.2,Y,
44,1.2.0,Y,
45,1.2.1,Y,
46,1.3.0,Y,
47,1.4.0,Y,
48,1.4.1,Y,
49,1.5.0,Y,
50,1.5.1,Y,
51,2.0.0,N,Library loading error.
52,2.0.1,N,Library loading error.
53,2.0.2,N,Library loading error.
54,2.0.3,N,Library loading error.
