,Version,Success,Description
0,0.15.0,Y,
1,0.15.0-pre,Y,
2,0.15.1,Y,
3,0.15.2,Y,
4,0.15.3,Y,
5,0.16.0,Y,
6,0.16.1,Y,
7,0.17.0,Y,
8,0.17.2,Y,
9,0.17.3,Y,
10,0.17.4,Y,
11,0.17.5,Y,
12,0.17.6,Y,
13,0.18.0,Y,
14,0.18.1,Y,
15,0.19.0,Y,
16,0.19.1,Y,
17,0.19.10,Y,
18,0.19.11,Y,
19,0.19.12,Y,
20,0.19.14,Y,
21,0.19.2,Y,
22,0.19.3,Y,
23,0.19.4,Y,
24,0.19.5,Y,
25,0.19.7,Y,
26,0.19.8,Y,
27,0.20.0,Y,
28,0.20.1,Y,
29,1.0.0,Y,
30,1.0.0-beta.0,Y,
31,1.0.0-beta.1,Y,
32,1.0.0-beta.10,Y,
33,1.0.0-beta.11,Y,
34,1.0.0-beta.2,Y,
35,1.0.0-beta.3,Y,
36,1.0.0-beta.4,Y,
37,1.0.0-beta.5,Y,
38,1.0.0-beta.6,Y,
39,1.0.0-beta.8,Y,
40,1.0.0-beta.9,Y,
41,1.0.0-rc.0,Y,
42,1.0.0-rc.1,Y,
43,1.0.0-rc.2,Y,
44,1.0.0-rc.3,Y,
45,1.0.0-rc.4,Y,
46,1.0.2,Y,
47,1.0.3,Y,
48,1.0.4,Y,
49,1.0.6,Y,
50,1.1.0,Y,
51,1.1.1,Y,
52,1.1.10,Y,
53,1.1.2,Y,
54,1.1.3,Y,
55,1.1.5,Y,
56,1.1.6,Y,
57,1.1.7,Y,
58,1.1.8,Y,
59,1.1.9,Y,
60,1.2.0,Y,
61,1.2.1,Y,
62,1.2.2,Y,
63,1.2.3,Y,
64,1.2.4,Y,
65,1.2.5,Y,
66,1.2.6,Y,
67,1.3.0,Y,
68,1.3.1,Y,
69,1.3.2,Y,
70,1.3.3,Y,
71,1.3.4,Y,
72,1.3.5,Y,
73,1.3.6,Y,
74,1.3.7,Y,
75,2.0.0-beta.0,Y,
76,2.0.0-dev.0,Y,
77,2.0.0-dev.1,Y,
78,2.0.0-dev.2,Y,
79,2.0.0-dev.3,Y,
80,2.0.0-dev.4,Y,
