,Version,Success,Description
0,0.5.3,Y,
1,0.6.0,Y,
2,1.0.0,Y,
3,1.0.3,Y,
4,1.0.4,Y,
5,1.0.5,Y,
6,1.0.6,Y,
7,1.0.7,Y,
8,1.0.8,Y,
9,1.1.0,Y,
10,1.1.0-rc1,Y,
11,1.1.0-rc2,Y,
12,1.1.0-rc3,Y,
13,1.1.0-rc4,Y,
14,1.1.1,Y,
15,1.1.10,Y,
16,1.1.11,Y,
17,1.1.12,Y,
18,1.1.13,Y,
19,1.1.14,Y,
20,1.1.15,Y,
21,1.1.16,Y,
22,1.1.17,Y,
23,1.1.18,Y,
24,1.1.19,Y,
25,1.1.2,Y,
26,1.1.20,Y,
27,1.1.21,Y,
28,1.1.22,Y,
29,1.1.3,Y,
30,1.1.4,Y,
31,1.1.5,Y,
32,1.1.6,Y,
33,1.1.7,Y,
34,1.1.8,Y,
35,1.1.9,Y,
36,1.2.0,Y,
37,1.3.0,Y,
38,2.0.0,Y,
39,2.0.0-rc1,Y,
40,2.0.0-rc2,Y,
41,2.0.1,Y,
42,2.0.2,Y,
43,2.0.4,Y,
44,2.0.5,Y,
45,2.1.0,Y,
46,2.1.1,Y,
47,2.2.0,Y,
48,2.2.1,Y,
49,2.3.0,Y,
50,3.0.0,Y,
51,3.0.1,Y,
52,3.0.2,Y,
53,3.0.3,Y,
54,3.0.4,Y,
55,3.0.5,Y,
56,3.1.0,Y,
57,3.1.1,Y,
58,3.10.0,Y,
59,3.11.0,Y,
60,3.12.0,Y,
61,3.12.1,Y,
62,3.12.2,Y,
63,3.13.0,Y,
64,3.13.1,Y,
65,3.14.0,Y,
66,3.14.1,Y,
67,3.14.2,Y,
68,3.15.0,Y,
69,3.16.0,Y,
70,3.16.1,Y,
71,3.17.0,Y,
72,3.18.0,Y,
73,3.18.1,Y,
74,3.19.0,Y,
75,3.19.1,Y,
76,3.2.0,Y,
77,3.2.1,Y,
78,3.20.0,Y,
79,3.20.1,Y,
80,3.21.0,Y,
81,3.22.0,Y,
82,3.22.1,Y,
83,3.22.2,Y,
84,3.22.3,Y,
85,3.22.4,Y,
86,3.23.0,Y,
87,3.23.1,Y,
88,3.23.2,Y,
89,3.23.3,Y,
90,3.24.0,Y,
91,3.24.1,Y,
92,3.24.2,Y,
93,3.25.0,Y,
94,3.25.1,Y,
95,3.25.2,Y,
96,3.26.1,Y,
97,3.26.2,Y,
98,3.27.1,Y,
99,3.27.2,Y,
100,3.3.0,Y,
101,3.4.0,Y,
102,3.4.1,Y,
103,3.5.0,Y,
104,3.5.1,Y,
105,3.6.0,Y,
106,3.6.1,Y,
107,3.7.0,Y,
108,3.8.0,Y,
109,3.8.1,Y,
110,3.9.0,Y,
111,3.9.1,Y,
112,3.9.2,Y,
113,7.13.1,Y,
114,raven-js@3.26.3,Y,
115,raven-js@3.26.4,Y,
116,raven-js@3.27.0,Y,
117,raven-node@2.6.3,Y,
118,raven-node@2.6.4,Y,
