,Version,Success,Description
0,10.0.0,Y,
1,10.1.0,Y,
2,2.0.2,Y,
3,2.0.3,Y,
4,2.1.0,Y,
5,2.1.1,Y,
6,2.2.1,Y,
7,2.3.0,Y,
8,2.4.0,Y,
9,2.5.0,Y,
10,2.6.0,Y,
11,2.7.0,Y,
12,2.8.0,Y,
13,3.0.0,Y,
14,3.1.0,Y,
15,3.2.0,Y,
16,3.3.0,Y,
17,3.4.0,Y,
18,3.4.1,Y,
19,3.5.0,Y,
20,3.6.0,Y,
21,3.6.1,Y,
22,3.7.0,Y,
23,4.0.0,Y,
24,4.1.0,Y,
25,4.1.1,Y,
26,4.1.2,N,Library loading error.
27,4.1.3,N,Library loading error.
28,4.1.4,Y,
29,4.1.5,Y,
30,4.1.6,Y,
31,4.2.0,Y,
32,4.2.1,Y,
33,4.2.2,Y,
34,4.2.3,Y,
35,4.3.0,Y,
36,4.4.0,Y,
37,5.0.0,Y,
38,5.0.1,Y,
39,5.1.0,Y,
40,5.1.1,Y,
41,5.1.2,Y,
42,5.10.0,Y,
43,5.2.0,Y,
44,5.2.1,Y,
45,5.2.2,Y,
46,5.3.0,Y,
47,5.4.0,Y,
48,5.5.0,Y,
49,5.7.0,Y,
50,5.8.0,Y,
51,5.9.0,Y,
52,6.0.0,Y,
53,6.1.0,Y,
54,6.1.1,Y,
55,6.1.2,Y,
56,6.1.3,Y,
57,6.1.4,Y,
58,6.2.0,Y,
59,6.2.1,Y,
60,6.2.2,Y,
61,6.3.1,Y,
62,6.3.2,Y,
63,6.4.0,Y,
64,6.5.0,Y,
65,6.6.0,Y,
66,7.0.0,Y,
67,7.0.1,Y,
68,7.0.2,Y,
69,7.0.4,Y,
70,7.0.5,Y,
71,8.0.0,Y,
72,8.1.0,Y,
73,9.0.0,Y,
74,9.1.0,Y,
75,9.1.1,Y,
76,9.1.2,Y,
77,9.1.3,Y,
78,9.1.4,Y,
79,9.2.0,Y,
80,9.2.1,Y,
81,9.3.0,Y,
82,9.4.0,Y,
83,9.4.1,Y,
84,9.4.3,Y,
85,9.4.4,Y,
86,9.4.5,Y,
87,9.5.0,Y,
