,Version,Success,Description
0,1.12.3,N,Library loading error.
1,1.13.0,N,Library loading error.
2,1.13.1,N,Library loading error.
3,1.14.0,N,Library loading error.
4,1.14.1,N,Library loading error.
5,1.15.0,N,Library loading error.
6,1.16.0,N,Library loading error.
7,1.16.1,N,Library loading error.
8,1.17.0,N,Library loading error.
9,1.18.0,N,Library loading error.
10,1.18.2,N,Library loading error.
11,1.18.3,N,Library loading error.
12,10.0.0,Y,
13,10.0.1,Y,
14,10.0.2,Y,
15,10.0.3,Y,
16,10.0.4,Y,
17,10.1.0,Y,
18,2.0.0,N,Library loading error.
19,2.1.0,N,Library loading error.
20,2.1.1,N,Library loading error.
21,2.2.0,N,Library loading error.
22,2.2.1,N,Library loading error.
23,2.2.2,N,Library loading error.
24,2.2.3,N,Library loading error.
25,2.2.4,N,Library loading error.
26,2.2.5,N,Library loading error.
27,3.0.0,N,Library loading error.
28,3.0.0-alpha.1,N,Library loading error.
29,3.0.0-alpha.2,N,Library loading error.
30,3.0.0-alpha.3,N,Library loading error.
31,3.0.0-alpha.4,N,Library loading error.
32,3.0.0-alpha.5,N,Library loading error.
33,3.0.0-alpha.6,N,Library loading error.
34,3.0.0-beta.1,N,Library loading error.
35,3.0.0-beta.2,N,Library loading error.
36,3.0.0-beta.3,N,Library loading error.
37,3.0.0-beta.4,N,Library loading error.
38,3.1.0,N,Library loading error.
39,3.2.0,N,Library loading error.
40,3.3.0,N,Library loading error.
41,3.3.1,N,Library loading error.
42,3.3.2,N,Library loading error.
43,3.3.3,N,Library loading error.
44,3.3.4,N,Library loading error.
45,3.3.5,N,Library loading error.
46,3.4.0,N,Library loading error.
47,3.5.0,N,Library loading error.
48,3.5.1,N,Library loading error.
49,3.6.0,N,Library loading error.
50,3.7.0,N,Library loading error.
51,3.7.1,N,Library loading error.
52,3.7.2,N,Library loading error.
53,3.7.3,N,Library loading error.
54,3.7.4,N,Library loading error.
55,3.8.0,N,Library loading error.
56,3.9.0,N,Library loading error.
57,4.0.0,N,Library loading error.
58,5.0.0,N,Library loading error.
59,5.0.1,N,Library loading error.
60,5.0.2,N,Library loading error.
61,5.1.0,N,Library loading error.
62,5.1.1,N,Library loading error.
63,5.1.2,N,Library loading error.
64,6.0.0,N,Library loading error.
65,6.0.1,N,Library loading error.
66,6.0.2,N,Library loading error.
67,6.0.3,N,Library loading error.
68,6.0.4,N,Library loading error.
69,6.1.0,N,Library loading error.
70,7.0.0,N,Library loading error.
71,7.0.1,N,Library loading error.
72,7.0.2,N,Library loading error.
73,7.1.0,N,Library loading error.
74,8.0.0,N,Library loading error.
75,8.0.1,N,Library loading error.
76,9.0.0,N,Library loading error.
77,9.0.1,N,Library loading error.
78,9.1.0,N,Library loading error.
79,9.2.0,N,Library loading error.
80,9.3.0,N,Library loading error.
81,9.3.1,N,Library loading error.
82,9.3.2,N,Library loading error.
83,9.3.3,N,Library loading error.
84,9.3.4,N,Library loading error.
85,9.4.0,N,Library loading error.
86,9.4.1,N,Library loading error.
87,9.4.2,N,Library loading error.
88,9.4.3,N,Library loading error.
