,Version,Success,Description
0,0.10.0,N,Library loading error.
1,0.10.1,N,Library loading error.
2,0.10.10,N,Library loading error.
3,0.10.11,N,Library loading error.
4,0.10.2,N,Library loading error.
5,0.10.3,N,Library loading error.
6,0.10.4,N,Library loading error.
7,0.10.5,N,Library loading error.
8,0.10.6,N,Library loading error.
9,0.10.7,N,Library loading error.
10,0.10.8,N,Library loading error.
11,0.10.9,N,Library loading error.
12,0.11.0,N,Library loading error.
13,0.11.1,N,Library loading error.
14,0.11.2,Y,
15,0.11.3,N,Library loading error.
16,0.12.0,N,Library loading error.
17,0.12.1,N,Library loading error.
18,0.12.2,N,Library loading error.
19,0.12.3,N,Library loading error.
20,0.12.4,N,Library loading error.
21,0.12.5,N,Library loading error.
22,0.12.6,N,Library loading error.
23,0.12.7,N,Library loading error.
24,0.13.0,N,Library loading error.
25,0.13.1,N,Library loading error.
26,0.13.2,N,Library loading error.
27,0.13.3,N,Library loading error.
28,0.13.4,N,Library loading error.
29,0.13.5,N,Library loading error.
30,0.13.6,N,Library loading error.
31,0.13.7,N,Library loading error.
32,0.13.8,N,Library loading error.
33,0.13.9,N,Library loading error.
34,0.14.0,N,Library loading error.
35,0.14.1,N,Library loading error.
36,0.14.2,N,Library loading error.
37,0.14.3,N,Library loading error.
38,0.14.4,N,Library loading error.
39,0.14.5,N,Library loading error.
40,0.14.6,N,Library loading error.
41,0.14.7,N,Library loading error.
42,0.15.0,N,Library loading error.
43,0.15.1,N,Library loading error.
44,0.15.2,N,Library loading error.
45,0.15.3,N,Library loading error.
46,0.16.0,N,Library loading error.
47,0.16.1,N,Library loading error.
48,0.16.2,N,Library loading error.
49,0.16.3,N,Library loading error.
50,0.16.4,N,Library loading error.
51,0.16.5,N,Library loading error.
52,0.16.6,N,Library loading error.
53,0.17.0,N,Library loading error.
54,0.17.1,N,Library loading error.
55,0.18.0,N,Library loading error.
56,0.18.1,N,Library loading error.
57,0.18.2,N,Library loading error.
58,0.18.3,N,Library loading error.
59,0.8.1,N,Library loading error.
60,0.8.2,N,Library loading error.
61,0.8.3,N,Library loading error.
62,0.8.4,N,Library loading error.
63,0.8.5,N,Library loading error.
64,0.9.0,N,Library loading error.
65,0.9.1,N,Library loading error.
66,0.9.2,N,Library loading error.
67,1.0.0,N,Library loading error.
68,1.1.0,N,Library loading error.
69,1.1.1,N,Library loading error.
70,1.2.0,N,Library loading error.
71,1.2.1,N,Library loading error.
72,1.2.2,N,Library loading error.
73,1.2.3,N,Library loading error.
74,1.2.4,N,Library loading error.
75,1.2.5,N,Library loading error.
76,1.3.0,N,Library loading error.
77,1.3.1,N,Library loading error.
78,1.3.2,N,Library loading error.
79,1.3.3,N,Library loading error.
80,1.3.4,N,Library loading error.
81,1.4.0,N,Library loading error.
82,1.4.1,N,Library loading error.
83,1.4.2,N,Library loading error.
84,1.4.3,N,Library loading error.
85,1.4.4,N,Library loading error.
