,Version,Success,Description
0,0.1.0-rc-1,Y,
1,1.0.0,N,Library loading error.
2,1.0.0-rc-1,N,Library loading error.
3,1.0.0-rc-2,N,Library loading error.
4,1.0.0-rc-3,N,Library loading error.
5,1.0.1,N,Library loading error.
6,1.0.1-rc-1,N,Library loading error.
7,1.0.2,N,Library loading error.
8,1.1.0,N,Library loading error.
9,1.1.0-rc-1,N,Library loading error.
10,1.1.0-rc-2,N,Library loading error.
11,1.1.0-rc-3,N,Library loading error.
12,1.2.0,N,Library loading error.
13,1.2.1,N,Library loading error.
14,1.2.2,N,Library loading error.
