,Version,Success,Description
0,0.11.0,N,Library loading error.
1,0.11.1,N,Library loading error.
2,0.11.2,N,Library loading error.
3,0.12.0,N,Library loading error.
4,0.12.1,N,Library loading error.
5,0.12.2,N,Library loading error.
6,0.13.0,N,Library loading error.
7,0.14.0,N,Library loading error.
8,0.15.0,N,Library loading error.
9,0.16.0,N,Library loading error.
10,0.17.0,N,Library loading error.
11,1.1.0,N,Library loading error.
12,1.2.0,Y,
13,1.2.1,Y,
14,1.2.2,Y,
15,1.2.3,Y,
16,1.2.4,Y,
17,1.2.5,Y,
18,1.2.6,Y,
19,1.2.7,Y,
20,2.0.0,Y,
21,2.0.1,Y,
22,2.0.2,Y,
23,2.0.3,Y,
24,2.0.4,Y,
25,2.1.0,Y,
26,2.2.0,Y,
27,2.2.1,Y,
28,2.3.0,Y,
29,2.3.1,Y,
30,2.3.2,Y,
31,3.0.0,Y,
32,3.0.0-alpha.1,Y,
33,3.0.1,Y,
34,3.1.0,Y,
35,3.2.0,Y,
36,3.3.0,Y,
37,3.3.1,Y,
38,3.3.2,Y,
39,3.4.0,Y,
40,3.4.1,Y,
41,3.4.2,Y,
42,3.4.3,Y,
43,4.0.0-beta.0,Y,
44,4.0.0-rc.2,Y,
