,Version,Success,Description
0,0.0.1,N,Library loading error.
1,0.0.2,N,Library loading error.
2,0.0.3,N,Library loading error.
3,0.0.4,N,Library loading error.
4,0.0.5,N,Library loading error.
5,0.0.6,N,Library loading error.
6,0.1.0,N,Library loading error.
7,0.1.1,N,Library loading error.
8,0.2.0,N,Library loading error.
9,0.2.1,N,Library loading error.
10,0.2.2,N,Library loading error.
11,0.3.0,N,Library loading error.
12,0.4.0,N,Library loading error.
13,0.4.1,N,Library loading error.
14,1.0.0-beta-1,N,Library loading error.
15,1.0.0-beta-2,N,Library loading error.
16,1.2.3,Y,
17,1.2.4,Y,
18,1.2.7,Y,
19,1.3.0,Y,
20,1.3.1,Y,
21,1.3.3,Y,
22,1.3.4,Y,
23,1.3.5,Y,
24,2.0.0-beta.1,Y,
25,2.0.0-beta.2,Y,
