,Version,Success,Description
0,0.2.0,N,Library loading error.
1,0.2.1,N,Library loading error.
2,0.2.2,N,Library loading error.
3,0.3.0,N,Library loading error.
4,0.4.0,N,Library loading error.
5,0.5.0,N,Library loading error.
6,0.5.1,N,Library loading error.
7,0.5.2,N,Library loading error.
8,0.5.3,N,Library loading error.
9,0.6.0,N,Library loading error.
10,0.7.0,N,Library loading error.
11,0.8.0,N,Library loading error.
12,0.8.1,N,Library loading error.
13,0.8.2,N,Library loading error.
14,0.9.0,N,Library loading error.
15,1.0.0,N,Library loading error.
16,1.0.0-alpha,N,Library loading error.
17,1.0.1,N,Library loading error.
18,2.0.0,N,Library loading error.
19,2.1.0,N,Library loading error.
20,2.1.1,N,Library loading error.
21,2.1.2,N,Library loading error.
22,3.0.0,N,Library loading error.
23,3.0.0-alpha,N,Library loading error.
24,3.0.1,N,Library loading error.
25,3.1.0,N,Library loading error.
26,3.1.1,N,Library loading error.
27,3.1.2,N,Library loading error.
28,4.0.0,N,Library loading error.
29,4.0.1,N,Library loading error.
30,4.0.2,N,Library loading error.
31,4.0.3,N,Library loading error.
32,4.0.4,N,Library loading error.
33,4.0.5,N,Library loading error.
34,4.0.6,N,Library loading error.
35,4.1.0,N,Library loading error.
36,4.1.1,N,Library loading error.
37,4.1.2,N,Library loading error.
38,4.2.0,N,Library loading error.
39,4.2.1,N,Library loading error.
40,4.3.0,N,Library loading error.
41,4.4.0,N,Library loading error.
42,4.4.1,N,Library loading error.
43,4.4.10,N,Library loading error.
44,4.4.2,N,Library loading error.
45,4.4.3,N,Library loading error.
46,4.4.4,N,Library loading error.
47,4.4.5,N,Library loading error.
48,4.4.6,N,Library loading error.
49,4.4.7,N,Library loading error.
50,4.4.8,N,Library loading error.
51,4.4.9,N,Library loading error.
52,5.0.0,N,Library loading error.
53,5.0.0-alpha.1,N,Library loading error.
54,5.0.0-beta.1,N,Library loading error.
55,5.0.0-beta.2,N,Library loading error.
56,5.0.0-beta.3,N,Library loading error.
57,5.0.0-rc.1,N,Library loading error.
58,5.0.0-rc.2,N,Library loading error.
59,5.0.1,N,Library loading error.
60,5.0.2,N,Library loading error.
61,5.0.3,N,Library loading error.
62,5.0.4,N,Library loading error.
63,5.0.5,N,Library loading error.
64,5.0.6,N,Library loading error.
65,5.0.7,N,Library loading error.
66,5.1.0,N,Library loading error.
67,5.1.0-test.1,N,Library loading error.
68,5.1.1,N,Library loading error.
69,5.1.2,N,Library loading error.
70,6.0.0,N,Library loading error.
71,6.0.0-alpha.2a2f108,N,Library loading error.
72,6.0.0-alpha.9210282,N,Library loading error.
73,6.0.0-alpha.ede6245,N,Library loading error.
74,6.0.0-beta.1,N,Library loading error.
75,6.0.0-beta.2,N,Library loading error.
76,6.0.0-beta.3,N,Library loading error.
77,6.0.1,N,Library loading error.
78,7.0.0,N,Library loading error.
79,7.0.0-beta.0,N,Library loading error.
80,7.0.0-beta.1,N,Library loading error.
81,7.0.1,N,Library loading error.
82,7.0.2,N,Library loading error.
83,7.0.3,N,Library loading error.
84,7.1.0,N,Library loading error.
85,7.1.0-alpha.0,N,Library loading error.
86,7.1.0-alpha.1,N,Library loading error.
87,7.1.0-alpha.2,N,Library loading error.
88,7.1.0-alpha.3,N,Library loading error.
89,7.1.0-alpha.4,N,Library loading error.
90,7.1.0-alpha.5,N,Library loading error.
91,7.1.0-rc.1,N,Library loading error.
92,7.1.1,N,Library loading error.
93,7.1.2,N,Library loading error.
94,7.1.2-alpha.0,N,Library loading error.
95,7.1.3,N,Library loading error.
96,7.2.0,N,Library loading error.
97,7.2.1,N,Library loading error.
98,7.2.2,N,Library loading error.
99,7.2.3,N,Library loading error.
100,7.2.4,N,Library loading error.
101,7.2.5,N,Library loading error.
102,7.2.6,N,Library loading error.
103,7.2.7,N,Library loading error.
104,7.2.8,N,Library loading error.
105,7.2.9,N,Library loading error.
106,8.0.0,N,Library loading error.
107,8.0.0-alpha.0,N,Library loading error.
108,8.0.0-alpha.1,N,Library loading error.
109,8.0.0-beta.0,N,Library loading error.
110,8.0.0-beta.1,N,Library loading error.
111,8.0.0-beta.2,N,Library loading error.
112,8.0.0-beta.3,N,Library loading error.
113,8.0.0-beta.4,N,Library loading error.
114,8.0.0-rc.0,N,Library loading error.
115,8.0.0-rc.1,N,Library loading error.
116,8.0.1,N,Library loading error.
117,8.0.2,N,Library loading error.
118,8.0.3,N,Library loading error.
119,8.0.4,N,Library loading error.
120,8.0.5,N,Library loading error.
121,8.0.6,N,Library loading error.
122,8.0.7,N,Library loading error.
123,8.1.0,N,Library loading error.
124,8.1.1,N,Library loading error.
125,8.1.2,N,Library loading error.
126,8.1.3,N,Library loading error.
127,9.0.0,N,Library loading error.
128,9.0.0-alpha.0,N,Library loading error.
129,9.0.0-alpha.1,N,Library loading error.
130,9.0.0-beta.0,N,Library loading error.
131,9.0.0-rc.0,N,Library loading error.
132,9.0.1,N,Library loading error.
133,9.0.2,N,Library loading error.
134,9.0.3,N,Library loading error.
135,9.0.4,N,Library loading error.
