,Version,Success,Description
0,0.0.0-00758660b56704e0949d99f4251c275d738376fe-20230225114436,Y,
1,0.0.0-1f54fd5554e133fd353fcf3bd85edeac3562a1a0-20230225150642,Y,
2,0.0.0-40ac9039be0c657954e31ea7588bee4abbf1df1f-20230227081728,Y,
3,0.0.0-65fc02cc281573bc28d90720983c8e9df9035059-20230625170003,Y,
4,0.0.0-aefd1e584376be38b1f6ca1ca74e061c4ce9b9d8-20230225174818,Y,
5,0.0.0-b13152991101c4b7adc41eba4f10e8d155511bbe-20230227075103,Y,
6,0.0.0-d0cc422bcf5dc2109d1d80e6ea065b4d8861d323-20230225174329,Y,
7,0.0.0-d80cafe1f0ccd7ce193b8f558285515ede3b8afc-20230625160448,Y,
8,0.0.0-fb0ddfbbce1fd1b524534d96188b7bdb923c7bc7-20230227080834,Y,
9,0.0.0-nightly-52cc710-20230626001840,Y,
10,10.0.0-alpha.0,Y,
11,10.0.0-alpha.1,Y,
12,9.0.0,N,Library loading error.
13,9.0.0-canary.808.16.68edca3,N,Library loading error.
14,9.0.0-canary.808.17.55c5691,N,Library loading error.
15,9.0.0-canary.809.1.aa2db98.0,N,Library loading error.
16,9.0.0-canary.809.2.49361198,N,Library loading error.
17,9.0.0-canary.809.3.a66b280,N,Library loading error.
18,9.0.0-canary.809.4.a637589,N,Library loading error.
19,9.0.0-canary.809.5.f01ecc2,N,Library loading error.
20,9.0.0-rc.1,N,Library loading error.
21,9.0.0-rc.2,N,Library loading error.
22,9.0.0-rc.3,N,Library loading error.
23,9.0.1,N,Library loading error.
24,9.1.0,N,Library loading error.
25,9.1.1,N,Library loading error.
26,9.1.2,N,Library loading error.
27,9.2.0,Y,
28,9.2.0-beta.0,Y,
29,9.2.0-beta.1,Y,
30,9.2.0-beta.2,Y,
31,9.2.0-beta.3,Y,
32,9.2.0-beta.4,Y,
33,9.2.0-beta.5,Y,
34,9.2.0-beta.6,Y,
35,9.2.0-beta.7,Y,
36,9.2.1,Y,
37,9.2.2,Y,
38,9.2.3,Y,
39,9.2.4,Y,
40,9.2.5,Y,
41,9.2.5-beta.0,Y,
42,9.2.6,Y,
43,9.2.6-beta.0,Y,
44,9.3.0,Y,
45,9.3.1,Y,
46,9.3.2,Y,
47,9.3.3,Y,
48,9.4.0,Y,
49,9.4.0-alpha.0,Y,
50,9.4.0-beta.0,Y,
51,9.4.0-beta.1,Y,
52,9.4.0-beta.2,Y,
53,9.4.0-beta.3,Y,
54,9.4.0-beta.4,Y,
55,9.4.0-beta.6,Y,
56,9.4.1,Y,
57,9.4.2,Y,
58,9.4.3,Y,
59,9.4.3-beta.0,Y,
60,9.4.3-beta.1,Y,
61,9.4.4,Y,
62,9.4.5,Y,
63,9.4.5-beta.0,Y,
64,9.4.5-beta.1,Y,
65,9.4.5-beta.2,Y,
66,9.5.0,Y,
67,9.5.1,Y,
68,9.5.2,Y,
69,9.5.3,Y,
70,9.5.4,Y,
71,9.5.5,Y,
72,9.5.5-beta.0,Y,
73,9.6.0,Y,
74,9.6.1,Y,
75,9.7.0,Y,
76,9.7.0-beta.0,Y,
77,9.7.1,Y,
78,9.7.2,Y,
79,9.7.3,Y,
