,Version,Success,Description
0,1.1.1,N,Library loading error.
1,1.1.2,N,Library loading error.
2,1.1.3,N,Library loading error.
3,1.2.0,N,Library loading error.
4,1.2.1,N,Library loading error.
5,2.0.0,N,Library loading error.
6,2.0.0-beta.0,N,Library loading error.
7,2.0.0-beta.1,N,Library loading error.
8,2.0.1,N,Library loading error.
9,2.0.2,N,Library loading error.
10,2.1.0,N,Library loading error.
11,2.2.0,N,Library loading error.
12,2.2.1,N,Library loading error.
13,2.3.0,N,Library loading error.
14,2.3.0-beta.0,N,Library loading error.
15,2.3.1,N,Library loading error.
16,2.4.0,N,Library loading error.
17,2.5.0,N,Library loading error.
18,2.5.1,N,Library loading error.
19,2.5.2,N,Library loading error.
20,2.5.3,N,Library loading error.
21,2.6.0,N,Library loading error.
22,2.6.1,N,Library loading error.
23,2.7.0,N,Library loading error.
24,2.7.1,N,Library loading error.
25,2.8.0,N,Library loading error.
26,2.9.0,N,Library loading error.
27,3.0.0,N,Library loading error.
28,4.0.0,N,Library loading error.
29,4.0.1,N,Library loading error.
30,4.1.0,N,Library loading error.
31,4.1.1,N,Library loading error.
32,4.2.0,N,Library loading error.
33,4.2.1,N,Library loading error.
34,4.2.2,N,Library loading error.
35,4.3.0,N,Library loading error.
36,4.4.0,N,Library loading error.
37,4.4.1,N,Library loading error.
38,4.4.2,N,Library loading error.
39,4.4.3,Y,
40,4.4.4,N,Library loading error.
41,4.4.5,N,Library loading error.
