,Version,Success,Description
0,0.5.3,N,Library loading error.
1,0.5.4,N,Library loading error.
2,0.5.5,N,Library loading error.
3,0.5.6,N,Library loading error.
4,0.5.7,N,Library loading error.
5,0.6.0,N,Library loading error.
6,0.6.1,N,Library loading error.
7,0.7.0,N,Library loading error.
8,0.7.1,N,Library loading error.
9,0.7.2,N,Library loading error.
10,0.8.0,N,Library loading error.
11,1.0.0,N,Library loading error.
12,1.1.0,N,Library loading error.
13,1.2.0,N,Library loading error.
14,1.2.2,N,Library loading error.
15,1.2.3,N,Library loading error.
16,1.2.4,N,Library loading error.
17,1.3.0,N,Library loading error.
18,1.3.1,N,Library loading error.
19,1.3.2,N,Library loading error.
20,1.3.3,N,Library loading error.
21,1.3.4,N,Library loading error.
22,1.4.0,N,Library loading error.
23,1.5.0,N,Library loading error.
24,1.6.0,N,Library loading error.
25,1.6.1,N,Library loading error.
26,10.0.1-release-please--branches--master--components--reactstrap-13bcf06.0,N,Library loading error.
27,10.0.1-release-please--branches--master--components--reactstrap-3592c05.0,N,Library loading error.
28,10.0.1-release-please--branches--master--components--reactstrap-8a0a6b3.0,N,Library loading error.
29,10.0.1-release-please--branches--master--components--reactstrap-db41e4a.0,N,Library loading error.
30,10.0.1-release-v10.0.0-502f864.0,N,Library loading error.
31,10.0.1-release-v10.0.0-c659629.0,N,Library loading error.
32,2.0.0,N,Library loading error.
33,2.1.0,N,Library loading error.
34,2.2.0,N,Library loading error.
35,2.3.0,N,Library loading error.
36,2.4.0,N,Library loading error.
37,2.5.0,N,Library loading error.
38,2.6.0,N,Library loading error.
39,2.6.1,N,Library loading error.
40,3.0.0,N,Library loading error.
41,3.0.1,N,Library loading error.
42,3.1.0,N,Library loading error.
43,3.2.0,N,Library loading error.
44,3.2.1,N,Library loading error.
45,3.2.2,N,Library loading error.
46,3.3.0,N,Library loading error.
47,3.3.1,N,Library loading error.
48,3.3.2,N,Library loading error.
49,3.4.0,N,Library loading error.
50,3.4.1,N,Library loading error.
51,3.5.0,N,Library loading error.
52,3.6.0,N,Library loading error.
53,3.7.0,N,Library loading error.
54,3.7.1,N,Library loading error.
55,3.8.0,N,Library loading error.
56,3.8.1,N,Library loading error.
57,3.9.0,N,Library loading error.
58,3.9.1,N,Library loading error.
59,3.9.2,N,Library loading error.
60,3.9.3,N,Library loading error.
61,3.9.4,N,Library loading error.
62,3.9.5,N,Library loading error.
63,4.0.0,N,Library loading error.
64,4.0.0-alpha.0,N,Library loading error.
65,4.0.0-alpha.1,N,Library loading error.
66,4.0.0-alpha.2,N,Library loading error.
67,4.0.0-alpha.3,N,Library loading error.
68,4.0.0-alpha.4,N,Library loading error.
69,4.0.0-alpha.5,N,Library loading error.
70,4.0.0-alpha.6,N,Library loading error.
71,4.0.0-alpha.7,N,Library loading error.
72,4.0.0-alpha.8,N,Library loading error.
73,4.0.1,N,Library loading error.
74,4.1.0,N,Library loading error.
75,4.1.1,N,Library loading error.
76,4.2.0,N,Library loading error.
77,4.3.0,N,Library loading error.
78,4.5.0,N,Library loading error.
79,4.6.0,N,Library loading error.
80,4.6.1,N,Library loading error.
81,4.6.2,N,Library loading error.
82,4.7.0,N,Library loading error.
83,4.8.0,N,Library loading error.
84,5.0.0,N,Library loading error.
85,5.0.0-alpha.0,N,Library loading error.
86,5.0.0-alpha.1,N,Library loading error.
87,5.0.0-alpha.2,N,Library loading error.
88,5.0.0-alpha.3,N,Library loading error.
89,5.0.0-alpha.4,N,Library loading error.
90,5.0.0-beta,N,Library loading error.
91,5.0.0-beta.2,N,Library loading error.
92,5.0.0-beta.3,N,Library loading error.
93,6.0.0,N,Library loading error.
94,6.0.1,N,Library loading error.
95,6.1.0,N,Library loading error.
96,6.2.0,N,Library loading error.
97,6.3.0,N,Library loading error.
98,6.3.1,N,Library loading error.
99,6.4.0,N,Library loading error.
100,6.5.0,N,Library loading error.
101,7.0.0,N,Library loading error.
102,7.0.1,N,Library loading error.
103,7.0.2,N,Library loading error.
104,7.1.0,N,Library loading error.
105,8.0.0,N,Library loading error.
106,8.0.1,N,Library loading error.
107,8.1.0,N,Library loading error.
108,8.1.1,N,Library loading error.
109,8.10.0,N,Library loading error.
110,8.10.1,N,Library loading error.
111,8.10.1-popper2-beta.0,N,Library loading error.
112,8.4.1,N,Library loading error.
113,8.5.0,N,Library loading error.
114,8.5.1,N,Library loading error.
115,8.6.0,N,Library loading error.
116,8.7.0,N,Library loading error.
117,8.7.1,N,Library loading error.
118,8.8.0,N,Library loading error.
119,8.8.1,N,Library loading error.
120,8.9.0,N,Library loading error.
121,9.0.0,N,Library loading error.
122,9.0.0-0,N,Library loading error.
123,9.0.0-1,Y,
124,9.0.0-2,N,Library loading error.
125,9.0.0-3,N,Library loading error.
126,9.0.0-4,N,Library loading error.
127,9.0.0-5,N,Library loading error.
128,9.0.0-6,N,Library loading error.
129,9.0.0-7,N,Library loading error.
130,9.0.0-8,N,Library loading error.
131,9.0.0-build-test.0,N,Library loading error.
132,9.0.0-build-test.1,N,Library loading error.
133,9.0.0-build-test.2,N,Library loading error.
134,9.0.0-build-test.3,N,Library loading error.
135,9.0.0-build-test.4,N,Library loading error.
136,9.0.1,N,Library loading error.
137,9.0.2,N,Library loading error.
138,9.0.3,N,Library loading error.
139,9.0.4,N,Library loading error.
140,9.1.0,N,Library loading error.
141,9.1.1,N,Library loading error.
142,9.1.10,Y,
143,9.1.2,N,Library loading error.
144,9.1.3,N,Library loading error.
145,9.1.4,N,Library loading error.
146,9.1.5,N,Library loading error.
147,9.1.6,N,Library loading error.
148,9.1.6-nodeUpdate-9a70a59.0,N,Library loading error.
149,9.1.6-nodeUpdate-b7a45ec.0,N,Library loading error.
150,9.1.6-v10-f1a1f7e.0,N,Library loading error.
151,9.1.7,Y,
152,9.1.8,Y,
153,9.1.9,Y,
154,9.2.0,Y,
155,9.2.1,Y,
