,Version,Success,Description
0,0.10.0,N,Library loading error.
1,0.10.1,N,Library loading error.
2,0.10.10,N,Library loading error.
3,0.10.2,N,Library loading error.
4,0.10.3,N,Library loading error.
5,0.10.4,N,Library loading error.
6,0.10.5,N,Library loading error.
7,0.10.6,N,Library loading error.
8,0.10.7,N,Library loading error.
9,0.10.8,N,Library loading error.
10,0.10.9,N,Library loading error.
11,0.11.0,N,Library loading error.
12,0.12.0,N,Library loading error.
13,0.12.1,N,Library loading error.
14,0.12.2,N,Library loading error.
15,0.12.3,N,Library loading error.
16,0.12.4,N,Library loading error.
17,0.12.5,N,Library loading error.
18,0.12.6,N,Library loading error.
19,0.12.7,N,Library loading error.
20,0.12.8,N,Library loading error.
21,0.13.0,N,Library loading error.
22,0.13.1,N,Library loading error.
23,0.13.2,N,Library loading error.
24,0.13.3,N,Library loading error.
25,0.13.4,N,Library loading error.
26,0.14.1,N,Library loading error.
27,0.14.2,N,Library loading error.
28,0.15.0,N,Library loading error.
29,0.15.1,N,Library loading error.
30,0.15.2,N,Library loading error.
31,0.15.3,N,Library loading error.
32,0.16.0,N,Library loading error.
33,0.16.1,N,Library loading error.
34,0.16.2,N,Library loading error.
35,0.17.1,N,Library loading error.
36,0.18.0,N,Library loading error.
37,0.19.0,N,Library loading error.
38,0.19.1,N,Library loading error.
39,0.2.0,Y,
40,0.2.1,Y,
41,0.2.2,Y,
42,0.2.3,Y,
43,0.20.0,N,Library loading error.
44,0.20.1,N,Library loading error.
45,0.20.2,N,Library loading error.
46,0.20.3,N,Library loading error.
47,0.20.4,N,Library loading error.
48,0.20.5,N,Library loading error.
49,0.20.6,N,Library loading error.
50,0.20.7,N,Library loading error.
51,0.20.8,N,Library loading error.
52,0.21.0,N,Library loading error.
53,0.21.2,N,Library loading error.
54,0.22.0,N,Library loading error.
55,0.22.1,N,Library loading error.
56,0.22.2,N,Library loading error.
57,0.22.3,N,Library loading error.
58,0.22.4,N,Library loading error.
59,0.22.5,N,Library loading error.
60,0.3.0,Y,
61,0.3.1,Y,
62,0.3.2,Y,
63,0.3.3,Y,
64,0.3.4,Y,
65,0.3.5,Y,
66,0.3.6,Y,
67,0.3.7,Y,
68,0.4.5,N,Library loading error.
69,0.4.6,N,Library loading error.
70,0.4.7,N,Library loading error.
71,0.4.8,N,Library loading error.
72,0.4.9,N,Library loading error.
73,0.5.0,N,Library loading error.
74,0.5.1,N,Library loading error.
75,0.5.2,N,Library loading error.
76,0.6.0,N,Library loading error.
77,0.6.1,N,Library loading error.
78,0.6.2,N,Library loading error.
79,0.6.3,N,Library loading error.
80,0.7.0,N,Library loading error.
81,0.8.0,N,Library loading error.
82,0.8.1,N,Library loading error.
83,0.8.2,N,Library loading error.
84,0.8.3,N,Library loading error.
85,0.8.4,N,Library loading error.
86,0.8.5,N,Library loading error.
87,0.8.6,N,Library loading error.
88,0.8.7,N,Library loading error.
89,0.8.8,N,Library loading error.
90,0.9.0,N,Library loading error.
91,0.9.1,N,Library loading error.
92,0.9.2,N,Library loading error.
93,0.9.3,N,Library loading error.
94,1.0.0,N,Library loading error.
95,1.0.0-alpha.0,N,Library loading error.
96,1.0.0-alpha.1,N,Library loading error.
97,1.0.0-alpha.2,N,Library loading error.
98,1.0.0-alpha.3,N,Library loading error.
99,1.0.0-alpha.4,N,Library loading error.
100,1.0.0-alpha.6,N,Library loading error.
101,1.0.0-apha.5,N,Library loading error.
102,1.0.0-beta.0,N,Library loading error.
103,1.0.0-beta.1,N,Library loading error.
104,1.0.0-beta.10,N,Library loading error.
105,1.0.0-beta.2,N,Library loading error.
106,1.0.0-beta.3,N,Library loading error.
107,1.0.0-beta.4,N,Library loading error.
108,1.0.0-beta.5,N,Library loading error.
109,1.0.0-beta.6,N,Library loading error.
110,1.0.0-beta.7,N,Library loading error.
111,1.0.0-beta.8,N,Library loading error.
112,1.0.0-beta.9,N,Library loading error.
113,1.0.1,N,Library loading error.
114,1.1.0,N,Library loading error.
115,1.2.0,N,Library loading error.
116,1.3.0,N,Library loading error.
117,1.3.1,N,Library loading error.
118,1.3.2,N,Library loading error.
119,1.3.3,N,Library loading error.
120,1.3.4,N,Library loading error.
121,1.3.5,N,Library loading error.
122,1.3.6,N,Library loading error.
123,1.4.0,N,Library loading error.
124,1.4.1,N,Library loading error.
125,1.4.2,N,Library loading error.
126,1.4.3,N,Library loading error.
127,1.4.4,N,Library loading error.
128,1.5.0,N,Library loading error.
129,1.6.0,N,Library loading error.
130,1.6.1,N,Library loading error.
131,1.6.2,N,Library loading error.
132,1.7.0,N,Library loading error.
133,1.7.1,N,Library loading error.
134,1.8.0,N,Library loading error.
135,1.8.1,N,Library loading error.
136,1.8.2,N,Library loading error.
137,1.8.3,N,Library loading error.
138,1.8.4,N,Library loading error.
139,1.8.5,N,Library loading error.
140,1.8.6,N,Library loading error.
141,2.0.0,N,Library loading error.
142,2.0.0-beta.6,N,Library loading error.
143,2.0.0-beta.7,N,Library loading error.
144,2.0.0-beta.8,N,Library loading error.
145,2.0.1,N,Library loading error.
146,2.0.10,N,Library loading error.
147,2.0.2,N,Library loading error.
148,2.0.3,N,Library loading error.
149,2.0.4,N,Library loading error.
150,2.0.5,N,Library loading error.
151,2.0.6,N,Library loading error.
152,2.0.7,N,Library loading error.
153,2.0.8,N,Library loading error.
154,2.0.9,N,Library loading error.
155,2.1.0,N,Library loading error.
156,2.1.1,N,Library loading error.
157,2.1.10,N,Library loading error.
158,2.1.11,N,Library loading error.
159,2.1.12,N,Library loading error.
160,2.1.13,N,Library loading error.
161,2.1.14,N,Library loading error.
162,2.1.15,N,Library loading error.
163,2.1.16,N,Library loading error.
164,2.1.2,N,Library loading error.
165,2.1.3,N,Library loading error.
166,2.1.4,N,Library loading error.
167,2.1.5,N,Library loading error.
168,2.1.6,N,Library loading error.
169,2.1.7,N,Library loading error.
170,2.1.8,N,Library loading error.
171,2.1.9,N,Library loading error.
172,2.10.0,N,Library loading error.
173,2.10.1,N,Library loading error.
174,2.10.2,N,Library loading error.
175,2.10.3,N,Library loading error.
176,2.2.0,N,Library loading error.
177,2.3.0,N,Library loading error.
178,2.3.0-alpha.0,N,Library loading error.
179,2.3.0-alpha.1,N,Library loading error.
180,2.3.1,N,Library loading error.
181,2.3.2,N,Library loading error.
182,2.4.0,N,Library loading error.
183,2.4.1,N,Library loading error.
184,2.4.2,N,Library loading error.
185,2.4.3,N,Library loading error.
186,2.5.0,N,Library loading error.
187,2.6.0,N,Library loading error.
188,2.6.1,N,Library loading error.
189,2.6.2,N,Library loading error.
190,2.7.0,N,Library loading error.
191,2.7.0-alpha.0,N,Library loading error.
192,2.7.1,N,Library loading error.
193,2.7.2,N,Library loading error.
194,2.7.3,N,Library loading error.
195,2.8.0,N,Library loading error.
196,2.9.0,N,Library loading error.
197,2.9.1,N,Library loading error.
198,2.9.2,N,Library loading error.
199,2.9.3,N,Library loading error.
