,Version,Success,Description
0,0.10.0,Y,
1,0.10.1,Y,
2,0.10.2,Y,
3,0.10.3,Y,
4,0.10.4,Y,
5,0.10.5,Y,
6,0.11.0,Y,
7,0.11.1,Y,
8,0.12.0,Y,
9,0.12.1,Y,
10,0.13.0,Y,
11,0.14.0,Y,
12,0.14.1,Y,
13,0.14.2,Y,
14,0.14.3,Y,
15,0.14.4,Y,
16,0.14.5,Y,
17,0.14.6,Y,
18,0.14.7,Y,
19,0.14.8,Y,
20,0.15.0,Y,
21,0.15.1,Y,
22,0.15.2,Y,
23,0.15.3,Y,
24,0.15.4,Y,
25,0.15.5,Y,
26,0.15.6,Y,
27,0.16.0,Y,
28,0.16.1,Y,
29,0.16.2,Y,
30,0.4.0,N,Library loading error.
31,0.4.1,N,Library loading error.
32,0.5.0,Y,
33,0.6.0,Y,
34,0.6.1,Y,
35,0.7.0,Y,
36,0.8.0,Y,
37,0.8.1,Y,
38,0.8.2,Y,
39,0.9.0,Y,
40,0.9.1,Y,
41,0.9.2,Y,
42,0.9.3,Y,
43,0.9.4,Y,
44,0.9.5,Y,
45,1.0.0,Y,
46,1.0.0-beta.0,Y,
47,1.0.0-beta.1,Y,
48,1.0.0-beta.2,Y,
49,1.0.0-beta.3,Y,
50,1.0.0-rc.0,Y,
51,1.0.1,Y,
52,1.0.2,Y,
53,1.0.3,Y,
54,1.0.4,Y,
55,1.0.5,Y,
56,1.1.3,Y,
57,1.2.0,Y,
58,1.2.1,Y,
59,1.2.2,Y,
60,1.2.3,Y,
