,Version,Success,Description
0,0.12.0,Y,
1,1.0.0,Y,
2,1.0.0-alpha,Y,
3,1.0.0-rc,Y,
4,1.0.1,Y,
5,2.0.0,Y,
6,3.0.0,Y,
7,3.0.1,Y,
8,3.0.2,Y,
9,3.0.3,Y,
10,3.0.4,Y,
11,3.0.5,Y,
12,3.0.6,Y,
13,3.1.0,Y,
14,3.1.1,Y,
15,3.1.2,Y,
16,3.1.3,Y,
17,3.1.4,Y,
18,3.1.5,Y,
19,3.1.6,Y,
20,3.1.7,Y,
21,3.2.0,Y,
22,3.2.1,Y,
23,3.3.0,Y,
24,3.3.1,Y,
25,3.4.0,Y,
26,3.5.0,Y,
27,3.5.1,Y,
28,3.5.2,Y,
29,3.6.0,Y,
30,3.7.0,Y,
31,3.7.1,Y,
32,3.7.2,Y,
33,4.0.0,Y,
34,4.0.0-beta.1,Y,
35,4.0.0-beta.2,Y,
36,4.0.0-rc.1,Y,
37,4.0.1,Y,
38,4.0.2,Y,
39,4.0.3,Y,
40,4.0.4,Y,
41,4.0.5,Y,
42,4.1.0,Y,
43,4.1.0-alpha.0,Y,
44,4.1.1,Y,
45,4.1.2,Y,
46,4.2.0,Y,
47,4.2.0-alpha.0,Y,
48,4.2.1,Y,
49,5.0.0,N,Library loading error.
50,5.0.0-alpha.0,Y,
51,5.0.0-alpha.1,Y,
52,5.0.0-alpha.2,Y,
53,5.0.0-alpha.3,Y,
54,5.0.0-alpha.4,N,Library loading error.
55,5.0.0-alpha.5,N,Library loading error.
56,5.0.0-alpha.6,N,Library loading error.
57,5.0.0-beta.0,N,Library loading error.
58,5.0.0-rc.0,N,Library loading error.
59,5.0.0-rc.1,N,Library loading error.
60,5.0.1,N,Library loading error.
