,Version,Success,Description
0,0.0.3,Y,
1,0.0.4,Y,
2,0.1.0,Y,
3,0.1.1,Y,
4,0.1.10,Y,
5,0.1.11,Y,
6,0.1.12,Y,
7,0.1.13,Y,
8,0.1.14,Y,
9,0.1.15,Y,
10,0.1.2,Y,
11,0.1.3,Y,
12,0.1.4,Y,
13,0.1.5,Y,
14,0.1.6,Y,
15,0.1.7,Y,
16,0.1.8,Y,
17,0.1.9,Y,
18,0.2.0,Y,
19,0.2.1,Y,
20,0.2.10,Y,
21,0.2.11,Y,
22,0.2.12,Y,
23,0.2.13,Y,
24,0.2.2,Y,
25,0.2.3,Y,
26,0.2.4,Y,
27,0.2.5,Y,
28,0.2.6,Y,
29,0.2.7,Y,
30,0.2.8,Y,
31,0.2.9,Y,
32,0.3.0,Y,
33,0.3.1,Y,
34,0.4.0,Y,
35,0.4.1,Y,
36,5.0.1,Y,
37,5.0.2,Y,
38,5.0.3,Y,
39,5.0.4,Y,
40,6.0.0,Y,
41,6.1.0,Y,
42,6.2.0,Y,
43,6.3.0,Y,
44,6.4.1,Y,
