,Version,Success,Description
0,0.0.1,Y,
1,0.0.2,Y,
2,0.0.3,Y,
3,0.0.4,Y,
4,0.0.5,Y,
5,0.0.6,Y,
6,0.0.7,Y,
7,0.0.8,Y,
8,0.0.9,Y,
9,0.1.0,Y,
10,0.1.1,Y,
11,0.1.2,Y,
12,0.1.3,Y,
13,0.1.4,Y,
14,0.1.5,Y,
15,0.1.6,Y,
16,0.1.7,Y,
17,0.1.8,Y,
18,0.1.9,Y,
19,0.2.0,Y,
20,0.2.1,Y,
21,0.2.2,Y,
22,0.2.3,N,Library loading error.
23,0.2.4,Y,
24,0.2.5,Y,
25,0.2.7,Y,
26,0.2.8,Y,
27,0.3.0,Y,
28,0.3.1,Y,
29,0.3.2,Y,
30,0.3.3,Y,
31,0.4.0,Y,
32,0.4.1,Y,
33,0.4.2,Y,
34,0.4.3,Y,
35,0.4.5,Y,
36,0.5.0,Y,
37,0.5.1,Y,
38,0.6.0,Y,
39,0.6.1,Y,
40,0.6.2,Y,
41,0.6.4,Y,
42,0.6.5,Y,
43,0.7.0,Y,
44,0.7.1,Y,
45,0.7.2,Y,
46,0.7.3,Y,
47,0.8.0,Y,
48,0.8.1,Y,
49,0.8.2,Y,
50,0.9.0,Y,
51,0.9.1,Y,
52,0.9.2,Y,
53,0.9.3,Y,
54,0.9.4,Y,
55,0.9.5,Y,
56,0.9.6,Y,
57,0.9.7,Y,
58,1.0.1,Y,
59,1.0.2,Y,
60,1.1.0,Y,
61,1.1.2,Y,
62,1.1.3,Y,
63,1.1.4,Y,
64,1.1.5,Y,
65,1.1.6,Y,
66,2.0.0,Y,
67,2.0.1,Y,
68,2.0.2,Y,
69,2.0.3,Y,
70,2.0.4,Y,
71,2.0.5,Y,
