,Version,Success,Description
0,2.4.0,Y,
1,2.5.0,Y,
2,2.5.1,Y,
3,2.5.2,Y,
4,2.5.3,Y,
5,2.5.4,Y,
6,3.0.0,Y,
7,3.0.0-beta.1,Y,
8,3.0.0-rc,Y,
9,3.0.0-rc1,Y,
10,3.0.1,Y,
11,4.0.0,Y,
12,4.0.0-beta.1,Y,
13,4.1.0,Y,
14,4.1.0-alpha.0,Y,
15,4.1.0-alpha.1,Y,
16,4.1.0-alpha.2,Y,
17,4.1.0-beta.0,Y,
18,4.1.0-beta.1,Y,
19,4.1.0-beta.2,Y,
20,4.1.1,Y,
21,4.1.2,Y,
22,4.1.3,Y,
23,4.1.4,Y,
24,4.1.5,Y,
25,4.1.6,Y,
26,4.1.7,Y,
27,4.1.8,Y,
28,5.0.0,N,Library loading error.
29,5.0.0-alpha.0,N,Library loading error.
30,5.0.0-alpha.1,N,Library loading error.
31,5.0.0-alpha.2,N,Library loading error.
32,5.0.0-beta.0,N,Library loading error.
33,5.0.0-beta.1,N,Library loading error.
34,5.0.0-rc.0,N,Library loading error.
35,5.0.0-rc.1,N,Library loading error.
36,5.0.1,N,Library loading error.
