,Version,Success,Description
0,0.3.0,Y,
1,1.0.0,Y,
2,1.1.0,Y,
3,1.2.0,Y,
4,1.3.0,Y,
5,1.4.0,Y,
6,2.0.0,Y,
7,2.1,Y,
8,2.1.0,Y,
9,2.2,Y,
10,2.2.0,Y,
11,2.3,Y,
12,2.3.0,Y,
13,2.4,Y,
14,2.4.0,Y,
15,2.5,Y,
16,2.5.0,Y,
17,2.6,Y,
18,2.6.0,Y,
19,2.6.1,Y,
20,2.6.2,Y,
21,3.0.0,Y,
22,3.1.0,Y,
23,3.2.0,Y,
24,3.3.0,Y,
25,3.4.0,Y,
26,3.4.1,Y,
27,3.5.0,Y,
28,3.5.0-beta,Y,
29,3.6.0,Y,
30,3.7.0,Y,
31,3.8.0,N,Library loading error.
32,3.9.0,Y,
33,3.9.1,Y,
34,3.9.2,Y,
35,4.0.0,N,Library loading error.
36,4.0.0-rc.1,N,Library loading error.
37,4.0.1,N,Library loading error.
38,4.0.2,N,Library loading error.
39,4.1.0,N,Library loading error.
40,4.1.1,N,Library loading error.
41,4.1.2,N,Library loading error.
42,4.2.0,N,Library loading error.
43,4.2.1,N,Library loading error.
44,4.3.0,N,Library loading error.
45,4.3.1,N,Library loading error.
46,4.4.0,N,Library loading error.
47,4.5.0,N,Library loading error.
48,4.6.0,N,Library loading error.
49,4.6.1,N,Library loading error.
50,5.0.0,N,Library loading error.
51,5.0.2,N,Library loading error.
52,5.0.3,N,Library loading error.
53,5.0.4,N,Library loading error.
