,Version,Success,Description
0,0.9.10,Y,
1,0.9.4,Y,
2,0.9.5,Y,
3,0.9.6,Y,
4,0.9.7,Y,
5,0.9.8,Y,
6,0.9.9,Y,
7,1.0.0,Y,
8,1.0.1,Y,
9,1.0.2,Y,
10,1.0.3,N,Library loading error.
11,1.0.4,Y,
12,2.0.1,Y,
13,2.0.10,Y,
14,2.0.11,Y,
15,2.0.12,Y,
16,2.0.13,Y,
17,2.0.14,Y,
18,2.0.15,Y,
19,2.0.2,Y,
20,2.0.3,Y,
21,2.0.4,Y,
22,2.0.5,Y,
23,2.0.6,Y,
24,2.0.7,Y,
25,2.0.7a,Y,
26,2.0.8,Y,
27,2.0.9,Y,
28,2.1.0,Y,
29,2.2.0,Y,
30,2.2.1,Y,
31,2.2.2,Y,
32,2.2.2-beta,Y,
33,2.2.3,Y,
34,2.2.4,Y,
35,2.3.0,Y,
36,2.3.0-beta,Y,
37,2.3.1,Y,
38,2.3.11,Y,
39,2.3.12,Y,
40,2.3.13,Y,
41,2.3.15,Y,
42,2.3.16,Y,
43,2.3.17,Y,
44,2.3.18,Y,
45,2.4.0,Y,
46,2.4.1,Y,
47,2.5.0,Y,
48,2.6.0,Y,
49,2.6.1,Y,
50,2.6.2,Y,
51,2.6.3,Y,
52,2.6.4,Y,
53,2.6.5,Y,
54,2.6.6,Y,
55,2.6.7,Y,
56,2.6.8,Y,
57,2.6.9,Y,
58,3.0.0,Y,
59,3.0.0-alpha.1,Y,
60,3.0.0-alpha.10,Y,
61,3.0.0-alpha.11,Y,
62,3.0.0-alpha.12,Y,
63,3.0.0-alpha.13,Y,
64,3.0.0-alpha.2,Y,
65,3.0.0-alpha.3,Y,
66,3.0.0-alpha.4,Y,
67,3.0.0-alpha.5,Y,
68,3.0.0-alpha.7,Y,
69,3.0.0-alpha.8,Y,
70,3.0.0-alpha.9,Y,
71,3.0.0-rc,Y,
72,3.0.1,Y,
73,3.0.2,Y,
74,3.0.3,Y,
75,3.0.4,Y,
76,3.0.5,Y,
77,3.0.6,Y,
78,3.0.7,Y,
79,3.1.0,Y,
80,3.1.1,Y,
81,3.10.0,Y,
82,3.10.1,Y,
83,3.10.2,Y,
84,3.10.3,Y,
85,3.11.0,Y,
86,3.11.1,Y,
87,3.11.2,Y,
88,3.12.0,Y,
89,3.13.0,Y,
90,3.13.1,Y,
91,3.13.2,Y,
92,3.2.0,Y,
93,3.2.1,Y,
94,3.3.0,Y,
95,3.3.1,Y,
96,3.3.2,Y,
97,3.4.0,Y,
98,3.4.1,Y,
99,3.4.2,Y,
100,3.4.3,Y,
101,3.4.4,Y,
102,3.5.0,Y,
103,3.5.1,Y,
104,3.6.0,Y,
105,3.6.1,Y,
106,3.6.2,Y,
107,3.6.3,Y,
108,3.7.0,Y,
