,Version,Success,Description
0,0.5.0,Y,
1,0.5.1,Y,
2,0.5.10,Y,
3,0.5.11,Y,
4,0.5.12,Y,
5,0.5.13,Y,
6,0.5.2,Y,
7,0.5.3,Y,
8,0.5.4,Y,
9,0.5.5,Y,
10,0.5.6,Y,
11,0.5.7,Y,
12,0.5.8,Y,
13,0.5.9,Y,
14,0.6.0,Y,
15,0.6.1,Y,
16,0.6.10,Y,
17,0.6.2,Y,
18,0.6.3,Y,
19,0.6.4,Y,
20,0.6.5,Y,
21,0.6.6,Y,
22,0.6.7,Y,
23,0.6.8,Y,
24,0.6.9,Y,
25,0.7.0,Y,
26,0.7.0-rc1,Y,
27,0.7.0-rc2,Y,
28,0.7.0-rc3,Y,
29,0.7.1,Y,
30,0.7.2,Y,
31,0.8.0,Y,
32,0.8.1,Y,
33,0.9.0,Y,
34,0.9.1,Y,
35,0.9.2,Y,
36,0.9.3,Y,
37,0.9.4,Y,
38,0.9.5,Y,
39,0.9.6,Y,
