,Version,Success,Description
0,2.63.0,Y,
1,2.64.0,Y,
2,2.65.0,Y,
3,2.66.0,Y,
4,2.66.1,Y,
5,2.67.0,Y,
6,2.67.1,Y,
7,2.67.2,Y,
8,2.67.3,Y,
9,2.68.0,Y,
10,2.69.0,Y,
11,2.69.1,Y,
12,2.69.2,Y,
13,2.70.0,Y,
14,2.70.1,Y,
15,2.70.2,Y,
16,2.71.0,Y,
17,2.71.1,Y,
18,2.72.0,Y,
19,2.72.1,Y,
20,2.73.0,Y,
21,2.74.0,Y,
22,2.74.1,Y,
23,2.75.0,Y,
24,2.75.1,Y,
25,2.75.2,Y,
26,2.75.3,Y,
27,2.75.4,Y,
28,2.75.5,Y,
29,2.75.6,Y,
30,2.75.7,Y,
31,2.76.0,Y,
32,2.77.0,Y,
33,2.77.1,Y,
34,2.77.2,Y,
35,2.77.3,Y,
36,2.77.4-0,Y,
37,2.77.4-1,Y,
38,2.78.0,Y,
39,2.78.1,Y,
40,2.79.0,Y,
41,2.79.1,Y,
42,3.0.0,Y,
43,3.0.0-0,Y,
44,3.0.0-1,Y,
45,3.0.0-2,Y,
46,3.0.0-3,Y,
47,3.0.0-4,Y,
48,3.0.0-5,Y,
49,3.0.0-6,Y,
50,3.0.0-7,Y,
51,3.0.0-8,Y,
52,3.0.1,Y,
53,3.1.0,Y,
54,3.10.0,Y,
55,3.10.1,Y,
56,3.11.0,Y,
57,3.12.0,Y,
58,3.12.1,Y,
59,3.13.0,Y,
60,3.14.0,Y,
61,3.15.0,Y,
62,3.15.1-0,Y,
63,3.15.1-1,Y,
64,3.16.0,Y,
65,3.17.0,Y,
66,3.17.1,Y,
67,3.17.2,Y,
68,3.17.3,Y,
69,3.17.3-0,Y,
70,3.17.3-1,Y,
71,3.18.0,Y,
72,3.18.0-0,Y,
73,3.19.0,Y,
74,3.19.1,Y,
75,3.2.0,Y,
76,3.2.1,Y,
77,3.2.2,Y,
78,3.2.3,Y,
79,3.2.4,Y,
80,3.2.5,Y,
81,3.20.0,Y,
82,3.20.1,Y,
83,3.20.2,Y,
84,3.20.3,Y,
85,3.20.3-0,Y,
86,3.20.4,Y,
87,3.20.5,Y,
88,3.20.6,Y,
89,3.20.7,Y,
90,3.21.0,Y,
91,3.21.1,Y,
92,3.21.2,Y,
93,3.21.3,Y,
94,3.21.4,Y,
95,3.21.5,Y,
96,3.21.6,Y,
97,3.21.7,Y,
98,3.21.8,Y,
99,3.22.0,Y,
100,3.22.0-0,Y,
101,3.22.1,Y,
102,3.23.0,Y,
103,3.23.1,Y,
104,3.24.0,Y,
105,3.24.1,Y,
106,3.25.0,Y,
107,3.25.1,Y,
108,3.25.2,Y,
109,3.25.3,Y,
110,3.26.0,Y,
111,3.26.1,Y,
112,3.26.2,Y,
113,3.26.3,Y,
114,3.27.0,Y,
115,3.27.1,Y,
116,3.27.2,Y,
117,3.28.0,Y,
118,3.28.1,Y,
119,3.29.0,Y,
120,3.29.1,Y,
121,3.29.2,Y,
122,3.29.3,Y,
123,3.29.4,Y,
124,3.3.0,Y,
125,3.3.0-0,Y,
126,3.4.0,Y,
127,3.4.0-0,Y,
128,3.4.0-1,Y,
129,3.5.0,Y,
130,3.5.0-0,Y,
131,3.5.1,Y,
132,3.6.0,Y,
133,3.6.0-0,Y,
134,3.6.0-1,Y,
135,3.6.1-0,Y,
136,3.7.0,Y,
137,3.7.1,Y,
138,3.7.1-0,Y,
139,3.7.2,Y,
140,3.7.3,Y,
141,3.7.3-0,Y,
142,3.7.4,Y,
143,3.7.5,Y,
144,3.7.5-0,Y,
145,3.7.6-0,Y,
146,3.8.0,Y,
147,3.8.1,Y,
148,3.9.0,Y,
149,3.9.1,Y,
150,4.0.0,Y,
151,4.0.0-1,Y,
152,4.0.0-10,Y,
153,4.0.0-12,Y,
154,4.0.0-13,Y,
155,4.0.0-14,Y,
156,4.0.0-15,Y,
157,4.0.0-16,Y,
158,4.0.0-17,Y,
159,4.0.0-18,Y,
160,4.0.0-19,Y,
161,4.0.0-2,Y,
162,4.0.0-20,Y,
163,4.0.0-21,Y,
164,4.0.0-22,Y,
165,4.0.0-23,Y,
166,4.0.0-24,Y,
167,4.0.0-25,Y,
168,4.0.0-3,Y,
169,4.0.0-4,Y,
170,4.0.0-5,Y,
171,4.0.0-6,Y,
172,4.0.0-7,Y,
173,4.0.0-8,Y,
174,4.0.0-9,Y,
175,4.0.1,Y,
176,4.0.2,Y,
177,4.1.0,Y,
178,4.1.1,Y,
179,4.1.3,Y,
180,4.1.4,Y,
181,4.1.5,Y,
182,4.1.6,Y,
183,4.2.0,Y,
184,4.3.0,Y,
185,4.3.1,Y,
186,4.4.0,Y,
187,4.4.1,Y,
188,4.5.0,Y,
189,4.5.1,Y,
190,4.5.2,Y,
191,4.6.0,Y,
192,4.6.1,Y,
193,4.7.0,Y,
194,4.8.0,Y,
195,4.9.0,Y,
196,4.9.1,Y,
