,Version,Success,Description
0,0.1.44,Y,
1,0.1.45,Y,
2,0.1.46,Y,
3,0.1.47,Y,
4,0.1.80,Y,
5,0.10.0,Y,
6,0.11.0,Y,
7,0.11.1,Y,
8,0.11.2,Y,
9,0.12.0,Y,
10,0.12.1,Y,
11,0.13.0,Y,
12,0.14.0,Y,
13,0.2.0,Y,
14,0.2.1,Y,
15,0.2.2,Y,
16,0.2.3,Y,
17,0.2.4,Y,
18,0.2.5,Y,
19,0.2.6,Y,
20,0.2.7,Y,
21,0.2.8,Y,
22,0.2.9,Y,
23,0.3.1,Y,
24,0.3.10,Y,
25,0.3.11,Y,
26,0.3.12,Y,
27,0.3.13,Y,
28,0.3.14,Y,
29,0.3.15,Y,
30,0.3.3,Y,
31,0.3.4,Y,
32,0.3.5,Y,
33,0.3.6,Y,
34,0.3.7,Y,
35,0.3.8,Y,
36,0.3.9,Y,
37,0.4.0,Y,
38,0.4.1,Y,
39,0.4.2,Y,
40,0.5.0,Y,
41,0.5.1,Y,
42,0.6.0,Y,
43,0.6.1,Y,
44,0.6.2,Y,
45,0.7.0,Y,
46,0.7.1,Y,
47,0.8.0,Y,
48,0.8.1,Y,
49,0.8.2,Y,
50,0.9.0,Y,
51,1.0.0,Y,
52,1.0.1,Y,
53,1.0.2,Y,
54,1.0.3,Y,
55,1.1.0,Y,
56,1.1.1,Y,
57,1.1.2,Y,
58,1.1.3,Y,
59,1.1.4,Y,
60,1.1.5,Y,
61,1.1.6,Y,
62,1.2.0,Y,
63,1.2.1,Y,
64,1.2.2,Y,
65,1.2.3,Y,
66,1.2.4,Y,
67,2.0.0,Y,
68,2.0.1,Y,
69,2.0.2,Y,
70,2.0.3,Y,
71,2.0.4,Y,
72,2.1.0,Y,
73,2.1.1,Y,
74,2.1.10,Y,
75,2.1.11,Y,
76,2.1.12,Y,
77,2.1.13,Y,
78,2.1.14,Y,
79,2.1.15,Y,
80,2.1.16,Y,
81,2.1.17,Y,
82,2.1.19,Y,
83,2.1.2,Y,
84,2.1.20,Y,
85,2.1.21,Y,
86,2.1.22,Y,
87,2.1.3,Y,
88,2.1.4,Y,
89,2.1.5,Y,
90,2.1.7,Y,
91,2.1.8,Y,
92,2.1.9,Y,
93,3.0.0,Y,
94,3.0.2,Y,
