,Version,Success,Description
0,1.0.0,N,Library loading error.
1,1.1.0,N,Library loading error.
2,1.2.0,N,Library loading error.
3,2.0.0,N,Library loading error.
4,2.0.1,N,Library loading error.
5,2.0.2,N,Library loading error.
6,2.0.3,N,Library loading error.
7,2.0.4,N,Library loading error.
8,3.0.0,N,Library loading error.
9,3.0.1,N,Library loading error.
10,3.0.12,Y,
11,3.0.13,Y,
12,3.0.14,Y,
13,3.0.15,Y,
14,3.0.16,Y,
15,3.0.17,Y,
16,3.0.18,Y,
17,3.0.19,Y,
18,3.0.2,N,Library loading error.
19,3.0.20,Y,
20,3.0.21,Y,
21,3.0.3,N,Library loading error.
22,3.0.4,N,Library loading error.
23,3.0.6,N,Library loading error.
24,3.0.7,N,Library loading error.
25,3.0.8,N,Library loading error.
26,3.0.9,N,Library loading error.
27,3.1.0,Y,
28,3.2.0,Y,
29,3.2.1,Y,
30,3.3.0,Y,
31,3.3.1,Y,
32,3.3.2,Y,
33,3.3.3,Y,
34,3.4.0,N,Library loading error.
35,3.5.0,N,Library loading error.
36,3.6.0,N,Library loading error.
37,3.6.1,N,Library loading error.
38,3.6.2,N,Library loading error.
39,4.0.0,N,Library loading error.
40,4.0.1,N,Library loading error.
41,4.0.2,N,Library loading error.
42,4.6.1,N,Library loading error.
43,4.7.0,Y,
44,4.8.0,Y,
45,4.8.1,Y,
46,4.8.2,Y,
47,4.8.3,Y,
48,4.8.4,Y,
49,4.8.5,Y,
