,Version,Success,Description
0,0.1.0-nightly.2023.10.1,Y,
1,0.1.0-nightly.2023.10.10,Y,
2,0.1.0-nightly.2023.10.11,Y,
3,0.1.0-nightly.2023.10.12,Y,
4,0.1.0-nightly.2023.10.13,Y,
5,0.1.0-nightly.2023.10.14,Y,
6,0.1.0-nightly.2023.10.16,Y,
7,0.1.0-nightly.2023.10.17,Y,
8,0.1.0-nightly.2023.10.18,Y,
9,0.1.0-nightly.2023.10.19,Y,
10,0.1.0-nightly.2023.10.2,Y,
11,0.1.0-nightly.2023.10.20,Y,
12,0.1.0-nightly.2023.10.21,Y,
13,0.1.0-nightly.2023.10.22,Y,
14,0.1.0-nightly.2023.10.23,Y,
15,0.1.0-nightly.2023.10.24,Y,
16,0.1.0-nightly.2023.10.25,Y,
17,0.1.0-nightly.2023.10.26,Y,
18,0.1.0-nightly.2023.10.27,Y,
19,0.1.0-nightly.2023.10.28,Y,
20,0.1.0-nightly.2023.10.29,Y,
21,0.1.0-nightly.2023.10.3,Y,
22,0.1.0-nightly.2023.10.30,Y,
23,0.1.0-nightly.2023.10.31,Y,
24,0.1.0-nightly.2023.10.4,Y,
25,0.1.0-nightly.2023.10.5,Y,
26,0.1.0-nightly.2023.10.6,Y,
27,0.1.0-nightly.2023.10.8,Y,
28,0.1.0-nightly.2023.10.9,Y,
29,0.1.0-nightly.2023.11.1,Y,
30,0.1.0-nightly.2023.11.10,Y,
31,0.1.0-nightly.2023.11.11,Y,
32,0.1.0-nightly.2023.11.12,Y,
33,0.1.0-nightly.2023.11.13,Y,
34,0.1.0-nightly.2023.11.14,Y,
35,0.1.0-nightly.2023.11.16,Y,
36,0.1.0-nightly.2023.11.17,Y,
37,0.1.0-nightly.2023.11.2,Y,
38,0.1.0-nightly.2023.11.20,Y,
39,0.1.0-nightly.2023.11.21,Y,
40,0.1.0-nightly.2023.11.22,Y,
41,0.1.0-nightly.2023.11.23,Y,
42,0.1.0-nightly.2023.11.24,Y,
43,0.1.0-nightly.2023.11.25,Y,
44,0.1.0-nightly.2023.11.26,Y,
45,0.1.0-nightly.2023.11.27,Y,
46,0.1.0-nightly.2023.11.28,Y,
47,0.1.0-nightly.2023.11.29,Y,
48,0.1.0-nightly.2023.11.3,Y,
49,0.1.0-nightly.2023.11.30,Y,
50,0.1.0-nightly.2023.11.4,Y,
51,0.1.0-nightly.2023.11.5,Y,
52,0.1.0-nightly.2023.11.8,Y,
53,0.1.0-nightly.2023.11.9,Y,
54,0.1.0-nightly.2023.12.1,Y,
55,0.1.0-nightly.2023.12.10,Y,
56,0.1.0-nightly.2023.12.11,Y,
57,0.1.0-nightly.2023.12.12,Y,
58,0.1.0-nightly.2023.12.13,Y,
59,0.1.0-nightly.2023.12.14,Y,
60,0.1.0-nightly.2023.12.15,Y,
61,0.1.0-nightly.2023.12.16,Y,
62,0.1.0-nightly.2023.12.17,Y,
63,0.1.0-nightly.2023.12.18,Y,
64,0.1.0-nightly.2023.12.19,Y,
65,0.1.0-nightly.2023.12.2,Y,
66,0.1.0-nightly.2023.12.21,Y,
67,0.1.0-nightly.2023.12.23,Y,
68,0.1.0-nightly.2023.12.24,Y,
69,0.1.0-nightly.2023.12.26,Y,
70,0.1.0-nightly.2023.12.27,Y,
71,0.1.0-nightly.2023.12.3,Y,
72,0.1.0-nightly.2023.12.4,Y,
73,0.1.0-nightly.2023.12.5,Y,
74,0.1.0-nightly.2023.12.6,Y,
75,0.1.0-nightly.2023.12.7,Y,
76,0.1.0-nightly.2023.12.9,Y,
77,0.1.0-nightly.2023.8.1,Y,
78,0.1.0-nightly.2023.8.10,Y,
79,0.1.0-nightly.2023.8.12,Y,
80,0.1.0-nightly.2023.8.13,Y,
81,0.1.0-nightly.2023.8.14,Y,
82,0.1.0-nightly.2023.8.15,Y,
83,0.1.0-nightly.2023.8.16,Y,
84,0.1.0-nightly.2023.8.17,Y,
85,0.1.0-nightly.2023.8.18,Y,
86,0.1.0-nightly.2023.8.19,Y,
87,0.1.0-nightly.2023.8.2,Y,
88,0.1.0-nightly.2023.8.20,Y,
89,0.1.0-nightly.2023.8.21,Y,
90,0.1.0-nightly.2023.8.22,Y,
91,0.1.0-nightly.2023.8.23,Y,
92,0.1.0-nightly.2023.8.24,Y,
93,0.1.0-nightly.2023.8.26,Y,
94,0.1.0-nightly.2023.8.27,Y,
95,0.1.0-nightly.2023.8.28,Y,
96,0.1.0-nightly.2023.8.29,Y,
97,0.1.0-nightly.2023.8.3,Y,
98,0.1.0-nightly.2023.8.31,Y,
99,0.1.0-nightly.2023.8.4,Y,
100,0.1.0-nightly.2023.8.5,Y,
101,0.1.0-nightly.2023.8.6,Y,
102,0.1.0-nightly.2023.8.7,Y,
103,0.1.0-nightly.2023.8.8,Y,
104,0.1.0-nightly.2023.8.9,Y,
105,0.1.0-nightly.2023.9.1,Y,
106,0.1.0-nightly.2023.9.12,Y,
107,0.1.0-nightly.2023.9.14,Y,
108,0.1.0-nightly.2023.9.15,Y,
109,0.1.0-nightly.2023.9.16,Y,
110,0.1.0-nightly.2023.9.17,Y,
111,0.1.0-nightly.2023.9.18,Y,
112,0.1.0-nightly.2023.9.19,Y,
113,0.1.0-nightly.2023.9.20,Y,
114,0.1.0-nightly.2023.9.23,Y,
115,0.1.0-nightly.2023.9.24,Y,
116,0.1.0-nightly.2023.9.25,Y,
117,0.1.0-nightly.2023.9.26,Y,
118,0.1.0-nightly.2023.9.29,Y,
119,0.1.0-nightly.2023.9.3,Y,
120,0.1.0-nightly.2023.9.30,Y,
121,0.1.0-nightly.2023.9.5,Y,
122,0.1.0-nightly.2023.9.6,Y,
123,0.1.0-nightly.2023.9.7,Y,
124,0.1.0-nightly.2023.9.8,Y,
125,0.1.0-nightly.2023.9.9,Y,
