,Version,Success,Description
0,3.0.0,Y,
1,3.0.0-rc.5,Y,
2,3.0.1,Y,
3,3.0.2,Y,
4,3.0.3,Y,
5,3.0.3-rc.1,Y,
6,3.0.3-rc.10,Y,
7,3.0.3-rc.11,Y,
8,3.0.3-rc.12,Y,
9,3.0.3-rc.13,Y,
10,3.0.3-rc.14,Y,
11,3.0.3-rc.15,Y,
12,3.0.3-rc.16,Y,
13,3.0.3-rc.17,Y,
14,3.0.3-rc.18,Y,
15,3.0.3-rc.19,Y,
16,3.0.3-rc.2,Y,
17,3.0.3-rc.20,Y,
18,3.0.3-rc.21,Y,
19,3.0.3-rc.22,Y,
20,3.0.3-rc.23,Y,
21,3.0.3-rc.24,Y,
22,3.0.3-rc.25,Y,
23,3.0.3-rc.26,Y,
24,3.0.3-rc.27,Y,
25,3.0.3-rc.28,Y,
26,3.0.3-rc.3,Y,
27,3.0.3-rc.4,Y,
28,3.0.3-rc.5,Y,
29,3.0.3-rc.6,Y,
30,3.0.3-rc.7,Y,
31,3.0.3-rc.8,Y,
32,3.0.3-rc.9,Y,
33,3.1.0,Y,
34,3.1.0-alpha.1,Y,
35,3.1.0-beta.1,Y,
36,3.1.0-beta.2,Y,
37,3.1.0-beta.3,Y,
38,3.1.0-beta.4,Y,
39,3.1.0-beta.5,Y,
40,3.1.0-beta.6,Y,
41,3.1.0-beta.7,Y,
42,3.1.0-rc.1,Y,
43,3.1.0-rc.2,Y,
44,3.1.1,Y,
45,3.1.2,Y,
46,3.1.3,Y,
47,3.1.4,Y,
48,3.1.5,Y,
49,3.10.0,Y,
50,3.10.1,Y,
51,3.10.10,Y,
52,3.10.2,Y,
53,3.10.3,Y,
54,3.10.4,Y,
55,3.10.5,Y,
56,3.10.6,Y,
57,3.10.7,Y,
58,3.10.8,Y,
59,3.10.9,Y,
60,3.11.0,Y,
61,3.11.1,Y,
62,3.11.2,Y,
63,3.11.3,Y,
64,3.12.0,Y,
65,3.12.1,Y,
66,3.12.2,Y,
67,3.13.0,Y,
68,3.13.0-beta.1,Y,
69,3.13.1,Y,
70,3.13.2,Y,
71,3.13.3,Y,
72,3.14.0,Y,
73,3.14.1,Y,
74,3.2.0,Y,
75,3.2.1,Y,
76,3.2.10,Y,
77,3.2.2,Y,
78,3.2.3,Y,
79,3.2.4,Y,
80,3.2.5,Y,
81,3.2.6,Y,
82,3.2.7,Y,
83,3.2.8,Y,
84,3.2.9,Y,
85,3.3.0,Y,
86,3.3.0-beta.1,Y,
87,3.3.0-beta.2,Y,
88,3.3.0-beta.3,Y,
89,3.3.0-rc.1,Y,
90,3.3.0-rc.2,Y,
91,3.3.0-rc.3,Y,
92,3.3.1,Y,
93,3.3.2,Y,
94,3.3.2-beta.1,Y,
95,3.3.2-beta.2,Y,
96,3.3.2-beta.3,Y,
97,3.3.2-beta.4,Y,
98,3.4.0,Y,
99,3.4.1,Y,
100,3.4.2,Y,
101,3.4.3,Y,
102,3.5.0,Y,
103,3.5.0-rc.1,Y,
104,3.5.1,Y,
105,3.5.1-rc.0,Y,
106,3.5.10,Y,
107,3.5.11,Y,
108,3.5.2,Y,
109,3.5.3,Y,
110,3.5.4,Y,
111,3.5.5,Y,
112,3.5.6,Y,
113,3.5.7,Y,
114,3.5.8,Y,
115,3.5.9,Y,
116,3.6.0,Y,
117,3.6.1,Y,
118,3.6.10,Y,
119,3.6.11,Y,
120,3.6.12,Y,
121,3.6.13,Y,
122,3.6.14,Y,
123,3.6.15,Y,
124,3.6.2,Y,
125,3.6.3,Y,
126,3.6.5,Y,
127,3.6.6,Y,
128,3.6.7,Y,
129,3.6.8,Y,
130,3.6.9,Y,
131,3.7.0,Y,
132,3.7.1,Y,
133,3.7.2,Y,
134,3.7.3,Y,
135,3.7.3-fix.1,Y,
136,3.7.3-fix.2,Y,
137,3.7.4,Y,
138,3.7.5,Y,
139,3.7.6,Y,
140,3.7.7,Y,
141,3.7.8,Y,
142,3.7.9,Y,
143,3.8.1,Y,
144,3.8.2,Y,
145,3.8.3,Y,
146,3.8.4,Y,
147,3.8.5,Y,
148,3.8.6,Y,
149,3.8.7,Y,
150,3.9.0,Y,
151,3.9.1,Y,
152,3.9.2,Y,
153,3.9.3,Y,
154,3.9.4,Y,
155,3.9.5,Y,
