,Version,Success,Description
0,1.19.2,Y,
1,1.19.3,Y,
2,1.20.0,Y,
3,1.20.1,Y,
4,1.21.0,Y,
5,1.21.1,Y,
6,1.22.0,Y,
7,1.22.1,Y,
8,1.23.0,Y,
9,1.24.0,Y,
10,1.25.0,Y,
11,1.26.0,Y,
12,1.27.0,Y,
13,1.27.1,Y,
14,1.27.2,Y,
15,1.27.3,Y,
16,1.27.4,Y,
17,1.27.5,Y,
18,2.0.0,Y,
19,2.1.0,Y,
20,2.1.1,Y,
21,2.1.2,Y,
22,2.10.0,Y,
23,2.11.0,Y,
24,2.2.0,Y,
25,2.3.0,Y,
26,2.3.1,Y,
27,2.3.2,Y,
28,2.3.3,Y,
29,2.4.0,Y,
30,2.5.0,Y,
31,2.5.1,Y,
32,2.5.2,Y,
33,2.5.3,Y,
34,2.6.0,Y,
35,2.6.1,Y,
36,2.7.0,Y,
37,2.7.1,Y,
38,2.7.2,Y,
39,2.7.3,Y,
40,2.8.0,Y,
41,2.8.1,Y,
42,2.9.0,Y,
