,Version,Success,Description
0,0.10,N,Library loading error.
1,0.10.1,N,Library loading error.
2,0.11.0,N,Library loading error.
3,0.11.1,N,Library loading error.
4,0.11.2,N,Library loading error.
5,0.11.3,N,Library loading error.
6,0.12.0,N,Library loading error.
7,0.12.1,N,Library loading error.
8,0.12.2,N,Library loading error.
9,0.12.3,N,Library loading error.
10,0.12.4,N,Library loading error.
11,0.12.5,N,Library loading error.
12,0.13.0,N,Library loading error.
13,0.13.1,N,Library loading error.
14,0.13.2,N,Library loading error.
15,0.13.3,N,Library loading error.
16,0.13.4,N,Library loading error.
17,0.14.0,N,Library loading error.
18,0.14.1,N,Library loading error.
19,0.15.0,Y,
20,0.15.1,Y,
21,0.15.2,Y,
22,0.15.3,Y,
23,0.15.4,Y,
24,0.15.5,Y,
25,0.2.0,N,Library loading error.
26,0.3.0,N,Library loading error.
27,0.3.1,N,Library loading error.
28,0.3.2,N,Library loading error.
29,0.3.3,N,Library loading error.
30,0.3.4,N,Library loading error.
31,0.4.0,N,Library loading error.
32,0.4.1,N,Library loading error.
33,0.5.0,N,Library loading error.
34,0.6.0,N,Library loading error.
35,0.6.1,N,Library loading error.
36,0.6.2,N,Library loading error.
37,0.6.3,N,Library loading error.
38,0.6.4,N,Library loading error.
39,0.7.0,N,Library loading error.
40,0.7.1,N,Library loading error.
41,0.8.0,N,Library loading error.
42,0.8.1,N,Library loading error.
43,0.8.2,N,Library loading error.
44,0.8.3,N,Library loading error.
45,0.8.4,N,Library loading error.
46,0.8.7,N,Library loading error.
47,0.8.8,N,Library loading error.
48,0.9.0,N,Library loading error.
49,0.9.1,N,Library loading error.
50,0.9.2,N,Library loading error.
51,0.9.3,N,Library loading error.
52,0.9.4,N,Library loading error.
