,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.2.0,Y,
3,0.3.0,Y,
4,0.3.1,Y,
5,0.3.2,Y,
6,0.4.0,Y,
7,0.4.1,Y,
8,0.4.2,Y,
9,0.4.3,Y,
10,0.4.4,Y,
11,0.5.0,Y,
12,0.5.1,Y,
13,0.5.2,Y,
14,0.5.3,Y,
15,0.5.4,Y,
16,0.6.0,Y,
17,0.6.1,Y,
18,1.0.0,Y,
19,1.1.0,Y,
20,1.1.1,Y,
21,1.1.2,Y,
22,1.2.0,Y,
23,1.3.0,Y,
24,1.4.0,Y,
25,1.4.1,Y,
26,1.4.2,Y,
27,1.4.3,Y,
28,1.4.4,Y,
29,2.0.0,Y,
30,2.0.1,Y,
31,2.1.0,Y,
32,2.1.1,Y,
33,2.1.2,Y,
34,2.1.3,Y,
35,2.1.4,Y,
36,2.1.5,Y,
37,2.1.6,Y,
38,2.2.0,Y,
39,2.2.1,Y,
40,2.2.2,Y,
41,2.2.3,Y,
42,3.0.0,Y,
43,3.0.1,Y,
44,3.0.2,Y,
45,3.0.3,Y,
46,3.0.4,Y,
47,3.1.0,Y,
48,3.1.1,Y,
49,3.2.0,Y,
