,Version,Success,Description
0,6.17.4,Y,
1,6.17.5,Y,
2,6.17.6,Y,
3,6.17.7,Y,
4,6.17.8,Y,
5,6.17.8-beta.0,Y,
6,6.17.9,Y,
7,6.18.0,Y,
8,6.18.1,Y,
9,6.18.1-beta.0,Y,
10,6.18.2,Y,
11,6.19.0,Y,
12,6.19.1,Y,
13,6.19.2,Y,
14,6.19.3,Y,
15,6.19.4,Y,
16,6.19.5,Y,
17,6.19.6,Y,
18,6.19.7,Y,
19,7.0.0,Y,
20,7.0.0-alpha.0,Y,
21,7.0.0-alpha.1,Y,
22,7.0.0-beta.0,Y,
23,7.0.0-beta.1,Y,
24,7.0.0-beta.2,Y,
25,7.0.0-rc.0,Y,
26,7.1.0,Y,
27,7.1.1,Y,
28,7.10.0,Y,
29,7.11.0,Y,
30,7.11.1,Y,
31,7.12.0,Y,
32,7.12.1,Y,
33,7.13.0,Y,
34,7.14.0,Y,
35,7.14.1,Y,
36,7.14.2,Y,
37,7.15.0,Y,
38,7.16.0,Y,
39,7.17.0,Y,
40,7.17.1,Y,
41,7.17.2,Y,
42,7.17.3,Y,
43,7.17.4,Y,
44,7.18.0,Y,
45,7.19.0,Y,
46,7.2.0,Y,
47,7.20.0,Y,
48,7.20.1,Y,
49,7.21.0,Y,
50,7.21.1,Y,
51,7.22.0,Y,
52,7.23.0,Y,
53,7.24.0,Y,
54,7.24.1,Y,
55,7.24.2,Y,
56,7.25.0,Y,
57,7.26.0,Y,
58,7.27.0,Y,
59,7.28.0,Y,
60,7.28.1,Y,
61,7.29.0,Y,
62,7.3.0,Y,
63,7.3.1,Y,
64,7.30.0,Y,
65,7.31.0,Y,
66,7.31.1,Y,
67,7.32.0,Y,
68,7.32.1,Y,
69,7.33.0,Y,
70,7.34.0,Y,
71,7.34.0-beta.0,Y,
72,7.35.0,Y,
73,7.36.0,Y,
74,7.37.0,Y,
75,7.37.1,Y,
76,7.37.2,Y,
77,7.38.0,Y,
78,7.39.0,Y,
79,7.4.0,Y,
80,7.4.1,Y,
81,7.40.0,Y,
82,7.41.0,Y,
83,7.42.0,Y,
84,7.43.0,Y,
85,7.44.0,Y,
86,7.44.1,Y,
87,7.44.2,Y,
88,7.45.0,Y,
89,7.46.0,Y,
90,7.47.0,Y,
91,7.48.0,Y,
92,7.49.0,Y,
93,7.5.0,Y,
94,7.5.1,Y,
95,7.50.0,Y,
96,7.51.0,Y,
97,7.51.1,Y,
98,7.51.2,Y,
99,7.52.0,Y,
100,7.52.1,Y,
101,7.53.0,Y,
102,7.53.1,Y,
103,7.54.0,Y,
104,7.55.0,Y,
105,7.55.1,Y,
106,7.55.2,Y,
107,7.56.0,Y,
108,7.57.0,Y,
109,7.57.0-beta.0,Y,
110,7.58.0,Y,
111,7.58.1,Y,
112,7.59.0,Y,
113,7.59.0-beta.0,Y,
114,7.59.0-beta.1,Y,
115,7.59.1,Y,
116,7.59.2,Y,
117,7.59.3,Y,
118,7.6.0,Y,
119,7.60.0,Y,
120,7.60.1,Y,
121,7.61.0,Y,
122,7.61.1,Y,
123,7.62.0,Y,
124,7.63.0,Y,
125,7.64.0,Y,
126,7.64.0-alpha.0,Y,
127,7.65.0,Y,
128,7.65.0-alpha.0,Y,
129,7.66.0,Y,
130,7.66.0-alpha.0,Y,
131,7.67.0,Y,
132,7.67.0-beta.0,Y,
133,7.68.0,Y,
134,7.69.0,Y,
135,7.7.0,Y,
136,7.70.0,Y,
137,7.70.0-beta.0,Y,
138,7.70.0-beta.1,Y,
139,7.71.0,Y,
140,7.72.0,Y,
141,7.73.0,Y,
142,7.74.0,Y,
143,7.74.1,Y,
144,7.74.2-alpha.1,Y,
145,7.75.0,Y,
146,7.75.1,Y,
147,7.76.0,Y,
148,7.77.0,Y,
149,7.78.0,Y,
150,7.79.0,Y,
151,7.8.0,Y,
152,7.8.1,Y,
153,7.80.0,Y,
154,7.80.1,Y,
155,7.80.2-alpha.0,Y,
156,7.80.2-alpha.1,Y,
157,7.81.0,Y,
158,7.81.1,Y,
159,7.82.0,Y,
160,7.83.0,Y,
161,7.84.0,Y,
162,7.85.0,Y,
163,7.86.0,Y,
164,7.87.0,Y,
165,7.88.0,Y,
166,7.89.0,Y,
167,7.9.0,Y,
168,7.90.0,Y,
169,7.91.0,Y,
