,Version,Success,Description
0,0.0.1,Y,
1,0.1.0,Y,
2,0.2.0,Y,
3,0.3.0,Y,
4,0.3.1,Y,
5,0.3.4,Y,
6,0.4.0,Y,
7,0.5.0,Y,
8,0.5.1,Y,
9,1-7-5,Y,
10,1.0.0,Y,
11,1.0.0-alpha.2,Y,
12,1.0.0-alpha1,Y,
13,1.0.1,Y,
14,1.0.2,Y,
15,1.1.0,Y,
16,1.2.0,Y,
17,1.2.1,Y,
18,1.2.2,Y,
19,1.2.3,Y,
20,1.3.0,Y,
21,1.4.0,Y,
22,1.4.1,Y,
23,1.4.2,Y,
24,1.4.3,Y,
25,1.4.4,Y,
26,1.5.0,Y,
27,1.5.1,Y,
28,1.5.2,Y,
29,1.5.3,Y,
30,1.5.4,Y,
31,1.5.5,Y,
32,1.6.0,Y,
33,1.6.1,Y,
34,1.6.2,Y,
35,1.6.3,Y,
36,1.6.4,Y,
37,1.7.0,Y,
38,1.7.1,Y,
39,1.7.2,Y,
40,1.7.3,Y,
41,1.7.4,Y,
42,1.7.5,Y,
43,1.7.6,Y,
44,1.8.0,Y,
45,1.8.1,Y,
46,1.8.2,Y,
47,1.8.3,Y,
48,1.8.4,Y,
49,1.8.5,Y,
50,1.8.6,Y,
51,1.8.7,Y,
52,1.9.0,Y,
53,1.9.1,Y,
54,2.0.0,Y,
55,2.0.0-alpha,Y,
56,2.0.1,Y,
57,2.0.2,Y,
58,2.0.3,Y,
59,2.0.4,Y,
60,2.1.0,Y,
