,Version,Success,Description
0,0.0.1,N,Library loading error.
1,0.1.0,Y,
2,0.2.0,Y,
3,0.3.0,Y,
4,0.4.0,Y,
5,0.5.0,Y,
6,0.6.0,Y,
7,0.7.0,Y,
8,0.8.0,Y,
9,0.8.1,Y,
10,0.9.0,Y,
11,0.9.1,Y,
12,0.9.2,N,Library loading error.
13,1.0.0,Y,
14,1.0.1,Y,
15,2.0.0,Y,
16,2.0.0-beta1,Y,
17,2.0.0-beta2,Y,
18,2.0.0-beta3,Y,
19,2.0.1,Y,
20,2.1.0,Y,
21,2.2.0,Y,
22,2.3.0,Y,
23,2.4.0,Y,
24,2.5.0,Y,
25,3.0.0,Y,
26,4.0.0,Y,
27,4.1.0,Y,
28,4.1.1,Y,
29,5.0.0,Y,
30,5.0.1,Y,
31,5.1.0,Y,
32,5.2.0,Y,
33,5.2.1,N,Library loading error.
34,5.3.0,N,Library loading error.
35,5.3.1,N,Library loading error.
36,5.4.0,N,Library loading error.
37,6.0.0,N,Library loading error.
38,6.0.1,N,Library loading error.
39,6.1.0,N,Library loading error.
40,6.1.1,N,Library loading error.
41,7.0.0,N,Library loading error.
42,7.0.1,N,Library loading error.
43,7.0.2,N,Library loading error.
44,7.0.5,N,Library loading error.
45,7.0.6,N,Library loading error.
46,7.0.7,N,Library loading error.
47,7.0.8,N,Library loading error.
48,7.0.9,N,Library loading error.
49,7.0.9-alpha.0,N,Library loading error.
50,7.1.0,N,Library loading error.
51,7.2.0,N,Library loading error.
52,7.3.0,N,Library loading error.
53,7.3.1,N,Library loading error.
54,7.3.2,N,Library loading error.
55,7.4.0,N,Library loading error.
56,7.4.1,N,Library loading error.
57,7.5.0,N,Library loading error.
58,7.6.0,N,Library loading error.
59,7.7.0,N,Library loading error.
60,7.7.1,N,Library loading error.
61,7.7.2,N,Library loading error.
62,7.7.3,N,Library loading error.
63,7.7.4,N,Library loading error.
64,7.7.5,N,Library loading error.
65,7.7.6,N,Library loading error.
66,7.8.0,N,Library loading error.
67,7.8.1,N,Library loading error.
68,7.8.2,N,Library loading error.
69,7.8.3,N,Library loading error.
