,Version,Success,Description
0,1.1.1,N,Library loading error.
1,1.1.2,N,Library loading error.
2,1.1.3,N,Library loading error.
3,1.1.4,N,Library loading error.
4,1.1.5,N,Library loading error.
5,1.1.6,N,Library loading error.
6,1.1.7,N,Library loading error.
7,1.1.9,N,Library loading error.
8,2.1.0,Y,
9,2.2.0,Y,
10,2.2.1,Y,
11,2.2.2,Y,
12,2.3.0,Y,
13,2.3.1,Y,
14,2.3.2,Y,
15,2.4.0,Y,
16,2.4.1,Y,
17,2.4.2,Y,
18,2.4.3,Y,
19,2.4.4,Y,
20,2.5.0,Y,
21,2.5.1,Y,
22,2.6.0,Y,
23,2.6.1,Y,
24,3.0.0-beta.0,Y,
25,3.0.0-beta.1,Y,
26,3.0.0-beta.2,Y,
27,3.0.0-beta.3,Y,
28,3.0.0-beta.4,Y,
29,3.0.0-beta.5,Y,
30,3.1.0,Y,
31,3.1.0-beta.1,Y,
32,3.1.0-beta.2,Y,
33,3.1.0-beta.3,Y,
34,3.1.0-beta.4,Y,
35,3.1.0-beta.5,Y,
36,3.1.1,Y,
37,3.1.2,Y,
38,3.1.3,Y,
39,3.1.4,Y,
40,3.1.5,Y,
41,4.0.0,Y,
42,4.0.0-alpha.0,Y,
43,4.0.0-alpha.1,Y,
44,4.0.0-alpha.2,Y,
45,4.0.0-alpha.3,Y,
46,4.0.0-alpha.4,Y,
47,4.0.0-alpha.5,Y,
48,4.0.0-alpha.6,Y,
49,4.0.0-alpha.7,Y,
50,4.0.0-alpha.8,Y,
51,4.0.0-alpha.9,Y,
52,4.1.0,Y,
53,4.2.0,Y,
54,4.2.1,Y,
55,4.2.2,Y,
56,4.2.3,Y,
57,4.2.3-corejs2,Y,
58,4.3.0-alpha.0,Y,
59,4.3.0-alpha.1,Y,
60,5.0.0,Y,
61,5.0.1,Y,
62,5.0.2,Y,
63,5.0.2-corejs2,Y,
64,5.0.3,Y,
65,5.0.3-corejs2,Y,
66,5.0.4,Y,
67,5.0.5,Y,
68,5.0.5-corejs2,Y,
69,5.0.6,Y,
70,5.0.7,Y,
71,5.1.0,Y,
72,5.2.0,Y,
73,5.2.1,Y,
74,5.3.0,Y,
75,5.3.2,Y,
76,5.3.3,Y,
77,5.3.4,Y,
78,5.3.5,Y,
79,5.3.6,Y,
80,5.3.7,Y,
81,5.3.8,Y,
82,5.3.9,Y,
83,6.0.0,Y,
84,6.0.0-beta.0,Y,
85,6.0.0-beta.1,Y,
86,6.0.0-beta.10,Y,
87,6.0.0-beta.11,Y,
88,6.0.0-beta.12,Y,
89,6.0.0-beta.2,Y,
90,6.0.0-beta.3,Y,
91,6.0.0-beta.4,Y,
92,6.0.0-beta.5,Y,
93,6.0.0-beta.6,Y,
94,6.0.0-beta.7,Y,
95,6.0.0-beta.8,Y,
96,6.0.0-beta.9,Y,
97,6.1.0,Y,
98,6.1.1,Y,
99,6.2.0,Y,
100,6.2.1,Y,
101,6.2.2,Y,
102,6.2.3,Y,
103,6.2.4,Y,
104,6.2.5,Y,
