,Version,Success,Description
0,0.6.0,Y,
1,0.6.0-beta10,Y,
2,0.6.0-beta2,Y,
3,0.6.0-beta3,Y,
4,0.6.0-beta4,Y,
5,0.6.0-beta5,Y,
6,0.6.0-beta6,Y,
7,0.6.0-beta7,Y,
8,0.6.0-beta8,Y,
9,0.6.0-beta9,Y,
10,0.6.1,Y,
11,0.6.2,Y,
12,0.6.3,Y,
13,0.6.4,Y,
14,0.6.5,Y,
15,0.6.6,Y,
16,0.7.0,Y,
17,0.7.1,Y,
18,0.7.2,Y,
19,0.7.3,Y,
20,0.7.4,Y,
21,0.7.5,Y,
22,0.8.0,Y,
23,0.8.0-beta1,Y,
24,0.8.0-beta2,Y,
25,0.8.0-beta3,Y,
26,0.8.1,Y,
27,0.8.1-beta1,Y,
28,0.8.1-beta10,Y,
29,0.8.1-beta2,Y,
30,0.8.1-beta3,Y,
31,0.8.1-beta4,Y,
32,0.8.1-beta5,Y,
33,0.8.1-beta6,Y,
34,0.8.1-beta7,Y,
35,0.8.1-beta8,Y,
36,0.8.1-beta9,Y,
37,0.8.2,Y,
38,0.8.2-beta2,Y,
39,0.8.3-beta1,Y,
40,0.8.3-beta2,Y,
41,0.8.3-beta3,Y,
42,0.9.0-beta1,Y,
43,0.9.0-beta2,Y,
44,0.9.0-beta3,Y,
45,0.9.0-beta4,Y,
46,0.9.0-beta5,Y,
47,0.9.0-beta6,Y,
48,0.9.0-beta7,Y,
49,0.9.0-beta8,Y,
