,Version,Success,Description
0,1.0.0,Y,
1,1.0.1,Y,
2,1.0.2,Y,
3,1.1.0,Y,
4,1.1.1,Y,
5,1.1.2,Y,
6,1.1.3,Y,
7,1.1.4,Y,
8,1.1.5,Y,
9,1.1.6,Y,
10,1.1.7,Y,
11,1.1.8,Y,
12,1.1.9,Y,
13,1.2.1,Y,
14,1.2.2,Y,
15,1.3.0,Y,
16,1.3.1,Y,
17,1.3.2,Y,
18,1.4.0,Y,
19,1.4.1,Y,
20,1.4.2,Y,
21,1.4.3,Y,
22,1.4.4,Y,
23,2.0.0,Y,
24,2.0.1,Y,
25,2.0.2,Y,
26,2.0.3,Y,
27,3.0.0,Y,
28,3.1.0,Y,
29,4.0.0,Y,
30,4.0.1,Y,
31,4.0.2,Y,
32,4.1.0,Y,
33,4.1.1,Y,
34,4.1.2,Y,
35,4.1.3,Y,
36,4.2.0,Y,
37,4.2.1,Y,
38,4.2.2,Y,
39,5.0.0,Y,
40,5.0.1,Y,
41,5.1.0,Y,
42,5.2.0,Y,
43,5.2.1,Y,
44,5.3.0,Y,
45,5.3.1,Y,
46,5.3.10,Y,
47,5.3.2,Y,
48,5.3.3,Y,
49,5.3.4,Y,
50,5.3.5,Y,
51,5.3.6,Y,
52,5.3.7,Y,
53,5.3.8,Y,
54,5.3.9,Y,
55,5.5.0,Y,
56,5.5.1,Y,
57,5.5.2,Y,
58,5.5.3,Y,
59,5.6.0,Y,
60,5.6.1,Y,
61,5.6.2,Y,
62,5.6.3,Y,
63,5.6.4,Y,
64,5.6.5,Y,
65,6.0.0,Y,
66,6.0.1,Y,
67,6.0.2,Y,
68,6.0.3,Y,
69,6.0.4,Y,
70,6.1.0,Y,
71,6.1.1,Y,
72,6.1.2,Y,
73,6.2.0,Y,
74,6.3.0,Y,
75,6.3.1,Y,
76,6.3.2,Y,
77,6.3.3,Y,
78,6.3.4,Y,
79,6.4.0,Y,
80,7.1.0,Y,
81,7.1.1,Y,
82,7.1.2,Y,
83,7.1.3,Y,
84,7.1.4,Y,
85,7.2.0,Y,
86,7.2.1,Y,
87,7.2.10,Y,
88,7.2.2,Y,
89,7.2.3,Y,
90,7.2.4,Y,
91,7.2.6,Y,
92,7.2.7,Y,
93,7.2.8,Y,
94,7.2.9,Y,
95,7.3.0,Y,
96,7.3.1,Y,
97,7.4.0,Y,
98,7.4.1,Y,
99,8.0.0-beta.2,Y,
100,8.0.0-beta.3,Y,
101,8.0.1,Y,
102,8.0.3,Y,
103,8.0.4,Y,
104,8.1.0,Y,
105,8.1.1,Y,
106,8.1.10,Y,
107,8.1.11,Y,
108,8.1.12,Y,
109,8.1.2,Y,
110,8.1.3,Y,
111,8.1.4,Y,
112,8.1.5,Y,
113,8.1.6,Y,
114,8.1.7,Y,
115,8.1.8,Y,
116,8.2.0,Y,
117,8.2.1,Y,
118,8.2.2,Y,
119,8.2.3,Y,
120,8.2.4,Y,
121,8.2.5,Y,
122,8.2.6,Y,
123,8.2.7,Y,
124,8.3.0,Y,
125,8.3.1,Y,
126,8.4.0,Y,
127,8.4.1,Y,
128,8.5.0,Y,
129,8.5.1,Y,
130,8.5.2,Y,
131,8.5.3,Y,
132,8.6.0,Y,
133,8.6.1,Y,
134,8.6.2,Y,
135,8.6.3,Y,
136,8.7.0,Y,
137,8.7.1,Y,
138,8.7.2,Y,
139,8.7.3,Y,
140,8.7.4,Y,
141,8.7.5,Y,
142,8.8.0,Y,
143,8.8.1,Y,
144,8.8.2,Y,
145,8.8.3,Y,
146,8.8.4,Y,
