,Version,Success,Description
0,0.6.2,Y,
1,0.7.0,Y,
2,0.7.1,Y,
3,0.7.10,Y,
4,0.7.11,Y,
5,0.7.2,Y,
6,0.7.3,Y,
7,0.7.4,Y,
8,0.7.5,Y,
9,0.7.9,Y,
10,0.8.0,Y,
11,0.8.1,Y,
12,0.8.2,Y,
13,0.8.3,Y,
14,0.8.4,Y,
15,0.8.5,Y,
16,0.8.6,Y,
17,0.8.7,Y,
18,0.9.0,Y,
19,0.9.1,Y,
20,0.9.1-1,Y,
21,0.9.10,Y,
22,0.9.11,Y,
23,0.9.15,Y,
24,0.9.16,Y,
25,0.9.17,Y,
26,0.9.2,Y,
27,0.9.3,Y,
28,0.9.4,Y,
29,0.9.5,Y,
30,0.9.6,Y,
31,0.9.7,Y,
32,0.9.8,Y,
33,0.9.9,Y,
34,1.0.0,Y,
35,1.0.0-pre,Y,
36,1.0.0-pre2,Y,
37,1.0.0-pre3,Y,
38,1.0.0-pre4,Y,
39,1.0.0-pre5,Y,
40,1.0.1,Y,
41,1.0.2,Y,
42,1.0.3,Y,
43,1.0.4,Y,
44,1.0.5,Y,
45,1.0.6,Y,
46,1.1.0,Y,
47,1.2.0,Y,
48,1.2.1,Y,
49,1.3.0,Y,
50,1.3.1,Y,
51,1.3.2,Y,
52,1.3.3,Y,
53,1.3.4,Y,
54,1.3.5,Y,
55,1.3.6,Y,
56,1.3.7,Y,
57,1.4.0,Y,
58,1.4.1,Y,
59,1.4.2,Y,
60,1.4.3,Y,
61,1.4.4,Y,
62,1.4.5,Y,
63,1.4.6,Y,
64,1.4.7,Y,
65,1.4.8,Y,
66,1.5.0,Y,
67,1.5.1,Y,
68,1.6.0,Y,
69,1.7.0,Y,
70,1.7.1,Y,
71,1.7.2,Y,
72,1.7.3,Y,
73,1.7.4,Y,
74,2.0.0,Y,
75,2.0.1,Y,
76,2.0.2,Y,
77,2.0.3,Y,
78,2.0.4,Y,
79,2.1.0,Y,
80,2.1.1,Y,
81,2.2.0,Y,
82,2.3.0,Y,
83,2.3.1,Y,
84,2.4.0,Y,
85,2.5.0,Y,
86,3.0.0,Y,
87,3.0.0-rc1,Y,
88,3.0.0-rc2,Y,
89,3.0.0-rc3,Y,
90,3.0.0-rc4,Y,
91,3.0.1,Y,
92,3.0.2,Y,
93,3.0.3,Y,
94,3.0.4,Y,
95,3.0.5,Y,
96,3.1.0,Y,
97,3.1.1,Y,
98,3.1.2,Y,
99,3.1.3,Y,
100,4.0.0,Y,
101,4.0.1,Y,
102,4.0.2,Y,
103,4.1.0,Y,
104,4.1.1,Y,
105,4.1.2,Y,
106,4.1.3,Y,
107,4.2.0,Y,
108,4.3.0,Y,
109,4.3.1,Y,
110,4.3.2,Y,
111,4.4.0,Y,
112,4.4.1,Y,
113,4.5.0,Y,
114,4.5.1,Y,
115,4.5.2,Y,
116,4.5.3,Y,
117,4.5.4,Y,
118,4.6.0,Y,
119,4.6.0-alpha1,Y,
120,4.6.0-alpha2,Y,
121,4.6.1,Y,
122,4.6.2,Y,
123,4.7.0,Y,
124,4.7.1,Y,
125,4.7.2,Y,
