,Version,Success,Description
0,0.1.1,Y,
1,0.1.10,Y,
2,0.1.11,Y,
3,0.1.12,Y,
4,0.1.13,Y,
5,0.1.14,Y,
6,0.1.15,Y,
7,0.1.16,Y,
8,0.1.17,Y,
9,0.1.18,Y,
10,0.1.19,Y,
11,0.1.2,Y,
12,0.1.20,Y,
13,0.1.21,Y,
14,0.1.22,Y,
15,0.1.23,Y,
16,0.1.24,Y,
17,0.1.25,Y,
18,0.1.26,Y,
19,0.1.27,Y,
20,0.1.29,Y,
21,0.1.3,Y,
22,0.1.30,Y,
23,0.1.31,Y,
24,0.1.32,Y,
25,0.1.5,Y,
26,0.1.6,Y,
27,0.1.7,Y,
28,0.1.8,Y,
29,0.1.9,Y,
30,0.2.1,Y,
31,0.2.10,Y,
32,0.2.11,Y,
33,0.2.12,Y,
34,0.2.14,Y,
35,0.2.15,Y,
36,0.2.2,Y,
37,0.2.3,Y,
38,0.2.4,Y,
39,0.2.5,Y,
40,0.2.6,Y,
41,0.2.7,Y,
42,0.2.8,Y,
43,0.2.9,Y,
44,0.3.1,Y,
45,0.3.2,Y,
46,0.4.0,Y,
47,0.4.1,Y,
48,0.4.2,Y,
49,0.4.3,Y,
50,0.4.4,Y,
51,0.4.5,Y,
52,0.4.6,Y,
53,0.4.7,Y,
54,0.5.0,Y,
55,0.5.1,Y,
56,0.5.2,Y,
57,0.5.3,Y,
58,0.5.4,Y,
59,0.5.5,Y,
60,0.5.6,Y,
61,0.5.7,Y,
62,0.5.8,Y,
63,0.5.9,Y,
