,Version,Success,Description
0,1.0.0,Y,
1,1.1.0,Y,
2,1.2.0,Y,
3,1.2.1,Y,
4,1.2.2,Y,
5,1.2.3,Y,
6,1.2.4,Y,
7,1.2.5,Y,
8,1.2.6,Y,
9,1.2.7,Y,
10,1.2.8,Y,
11,1.3.0,Y,
12,1.3.1,Y,
13,1.3.2,Y,
14,1.3.3,Y,
15,2.0.0,Y,
16,2.0.1,Y,
17,2.0.2,Y,
18,2.1.0,Y,
19,2.1.1,Y,
20,2.1.2,Y,
21,2.1.3,Y,
22,2.2.0,Y,
23,2.3.0,Y,
24,2.3.1,Y,
25,2.3.2,Y,
26,3.0.0,N,Library loading error.
27,3.1.0,N,Library loading error.
28,4.0.0,N,Library loading error.
29,4.1.0,N,Library loading error.
30,4.1.1,N,Library loading error.
