,Version,Success,Description
0,0.1.0,Y,
1,0.2.0,Y,
2,0.2.1,Y,
3,0.2.2,Y,
4,0.2.3,Y,
5,0.2.4,Y,
6,0.2.5,Y,
7,0.2.6,Y,
8,0.3,Y,
9,0.3.1,Y,
10,0.4,Y,
11,0.4.1,Y,
12,0.4.2,Y,
13,0.4.3,Y,
14,0.4.4,Y,
15,0.4.5,Y,
16,0.4.6,Y,
17,0.4.7,Y,
18,1.0.0,Y,
19,1.0.1,Y,
20,1.0.2,Y,
21,1.0.3,Y,
22,1.0.4,Y,
23,1.0.5,Y,
24,1.0.6,Y,
25,1.0.7,Y,
26,1.1.0,Y,
27,1.1.1,Y,
28,1.1.2,Y,
29,1.1.3,Y,
30,1.1.4,Y,
31,1.2.0,Y,
32,1.3.0,Y,
33,1.3.1,Y,
34,1.3.2,Y,
35,1.3.3,Y,
36,1.3.4,Y,
37,1.3.5,Y,
38,1.4.0,Y,
39,1.5.0,Y,
40,1.5.1,Y,
41,1.5.10,Y,
42,1.5.11,Y,
43,1.5.2,Y,
44,1.5.3,Y,
45,1.5.4,Y,
46,1.5.5,Y,
47,1.5.6,Y,
48,1.5.7,Y,
49,1.5.9,Y,
50,1.6.0,Y,
51,1.6.1,Y,
52,1.6.2,Y,
53,1.6.3,Y,
54,1.6.4,Y,
55,1.6.5,Y,
