,Version,Success,Description
0,0.2.3,Y,
1,0.3.0,Y,
2,0.3.1,Y,
3,0.3.2,N,Library loading error.
4,0.3.3,Y,
5,0.4.0,Y,
6,0.4.2,Y,
7,0.5.0,Y,
8,0.5.1,Y,
9,0.6.0,Y,
10,0.6.1,Y,
11,0.7.1,Y,
12,1.0.0,Y,
13,1.0.1,Y,
14,1.0.2,Y,
15,1.1.0,N,Library loading error.
16,1.2.0,Y,
17,2.0.1,Y,
18,2.0.2,Y,
19,2.0.3,Y,
20,2.1.0,Y,
21,3.0.0,Y,
22,3.0.1,Y,
23,3.0.2,Y,
24,3.0.3,Y,
25,3.0.4,Y,
26,3.0.5,Y,
27,3.0.6,Y,
28,3.1.0,Y,
29,3.1.1,Y,
30,3.1.2,Y,
31,3.1.3,Y,
32,3.2.0,Y,
33,3.2.1,Y,
34,4.0.1,Y,
35,4.0.2,Y,
36,4.1.0,Y,
37,4.1.1,Y,
38,4.1.2,Y,
39,4.2.0,Y,
40,4.3.0,Y,
41,4.3.1,Y,
42,4.3.2,Y,
