,Version,Success,Description
0,1.0.3,N,Library loading error.
1,1.0.4,N,Library loading error.
2,1.0.5,N,Library loading error.
3,1.0.6,N,Library loading error.
4,1.0.7,N,Library loading error.
5,1.0.8,N,Library loading error.
6,1.0.9,N,Library loading error.
7,3.3.7,N,Library loading error.
8,3.3.7+1,N,Library loading error.
9,4.0.0,N,Library loading error.
10,4.0.1,N,Library loading error.
11,4.0.2,N,Library loading error.
12,4.0.3,N,Library loading error.
13,4.0.4,N,Library loading error.
14,4.0.5,N,Library loading error.
15,4.0.6,N,Library loading error.
16,4.0.7,N,Library loading error.
17,4.1.2,N,Library loading error.
18,4.1.3,N,Library loading error.
19,4.1.4,N,Library loading error.
