,Version,Success,Description
0,1.0.3,Y,
1,1.1.0,Y,
2,1.1.1,Y,
3,1.2.0,Y,
4,1.3.0,Y,
5,1.3.1,Y,
6,1.3.10,Y,
7,1.3.11,Y,
8,1.3.12,Y,
9,1.3.13,Y,
10,1.3.14,Y,
11,1.3.15,Y,
12,1.3.16,Y,
13,1.3.17,Y,
14,1.3.19,Y,
15,1.3.2,Y,
16,1.3.20,Y,
17,1.3.3,Y,
18,1.3.4,Y,
19,1.3.5,Y,
20,1.3.5-firefox-2-and-3-support,Y,
21,1.3.6,Y,
22,1.3.7,Y,
23,1.3.8,Y,
24,1.3.9,Y,
25,2.0.0,N,Library loading error.
26,2.0.1,N,Library loading error.
27,2.0.10,N,Library loading error.
28,2.0.11,N,Library loading error.
29,2.0.12,N,Library loading error.
30,2.0.3,N,Library loading error.
31,2.0.4,N,Library loading error.
32,2.0.6,N,Library loading error.
33,2.0.7,N,Library loading error.
34,2.0.8,N,Library loading error.
35,2.0.9,N,Library loading error.
