,Version,Success,Description
0,.4.5.0,Y,
1,1.1.0,Y,
2,1.1.1,Y,
3,1.2.0,Y,
4,1.3.0,Y,
5,1.3.1,Y,
6,1.4.0,Y,
7,2.0.0,Y,
8,2.0.1,Y,
9,2.1.0,Y,
10,2.1.1,Y,
11,3.0.0,Y,
12,3.0.1,Y,
13,3.0.2,Y,
14,4.0.0-beta.10,Y,
15,4.0.0-beta.15,Y,
16,4.0.0-beta.16,Y,
17,4.0.0-beta.17,Y,
18,4.0.0-beta.18,Y,
19,4.0.0-beta.20,Y,
20,4.0.0-beta.25,Y,
21,4.0.0-beta.26,Y,
22,4.0.0-beta.3,Y,
23,4.0.0-beta.32,Y,
24,4.0.0-beta.34,Y,
25,4.0.0-beta.35,Y,
26,4.0.0-beta.9,Y,
27,4.0.0-beta1,Y,
28,4.0.1,Y,
29,4.0.1-beta,Y,
30,4.0.2,Y,
31,4.0.3,Y,
32,4.0.4,Y,
33,4.0.5,Y,
34,4.0.6,Y,
35,4.0.7,Y,
36,4.0.8,Y,
37,4.1.0,Y,
38,4.1.1,Y,
39,4.1.2,Y,
40,4.1.3,Y,
41,4.11.0,Y,
42,4.11.1,Y,
43,4.2.0,Y,
44,4.2.1,Y,
45,4.3.0,Y,
46,4.4.1,Y,
47,4.5.0,Y,
48,4.5.2,Y,
49,4.5.4,Y,
50,4.5.5,Y,
51,4.6.0,Y,
52,4.6.1,Y,
53,4.6.2,Y,
54,4.7.0,Y,
55,4.7.1,Y,
56,4.7.2,Y,
57,4.7.3,Y,
58,4.7.4,Y,
59,4.8.0,Y,
60,4.8.1,Y,
61,4.9.0,Y,
62,4.9.1,Y,
63,7.0.1-0,Y,
64,7.0.1-1,Y,
65,7.0.1-3,Y,
66,7.0.1-4,Y,
