,Version,Success,Description
0,3.10.0,Y,
1,3.10.1,Y,
2,3.10.2,Y,
3,3.11.0,Y,
4,3.11.1,Y,
5,3.11.2,Y,
6,3.11.3,Y,
7,3.12.0,Y,
8,3.13.0,Y,
9,3.14.0,Y,
10,3.14.1,Y,
11,3.14.2,Y,
12,3.14.3,Y,
13,3.15.0,Y,
14,3.15.1,Y,
15,3.15.2,Y,
16,3.15.3,Y,
17,3.15.4,Y,
18,3.16.0,Y,
19,3.16.1,Y,
20,3.16.2,Y,
21,3.16.3,Y,
22,3.17.0,Y,
23,3.17.1,Y,
24,3.17.10,Y,
25,3.17.2,Y,
26,3.17.3,Y,
27,3.17.4,Y,
28,3.17.6,Y,
29,3.17.7,Y,
30,3.17.8,Y,
31,3.17.9,Y,
32,3.18.0,Y,
33,3.18.1,Y,
34,3.19.0,Y,
35,3.19.1,Y,
36,3.19.2,Y,
37,3.19.3,Y,
38,3.19.4,Y,
39,3.19.5,Y,
40,3.19.7,Y,
41,3.20.0,Y,
42,3.20.1,Y,
43,3.20.2,Y,
44,3.20.3,Y,
45,3.21.0,Y,
46,3.21.1,Y,
47,3.21.2,Y,
48,3.21.3,Y,
49,3.21.4,Y,
50,3.21.5,Y,
51,3.22.0,Y,
52,3.22.1,Y,
53,3.22.2,Y,
54,3.22.3,Y,
55,3.23.0,Y,
56,3.23.1,Y,
57,3.25.0,Y,
58,3.9.3,Y,
59,4.0.0,Y,
60,4.0.1,Y,
61,4.0.2,Y,
62,4.0.3,Y,
63,4.0.4,Y,
64,4.0.5,Y,
65,4.1.0,Y,
66,4.1.1,Y,
67,4.1.2,Y,
68,4.1.3,Y,
69,4.1.4,Y,
70,4.10.0,N,Library loading error.
71,4.11.0,N,Library loading error.
72,4.12.0,N,Library loading error.
73,4.13.0,N,Library loading error.
74,4.13.1,N,Library loading error.
75,4.13.2,N,Library loading error.
76,4.13.3,N,Library loading error.
77,4.14.0,N,Library loading error.
78,4.14.1,N,Library loading error.
79,4.15.0,N,Library loading error.
80,4.15.1,N,Library loading error.
81,4.15.2,N,Library loading error.
82,4.15.3,N,Library loading error.
83,4.15.4,N,Library loading error.
84,4.16.0,N,Library loading error.
85,4.16.2,N,Library loading error.
86,4.16.3,N,Library loading error.
87,4.16.4,N,Library loading error.
88,4.17.0,N,Library loading error.
89,4.17.1,N,Library loading error.
90,4.17.2,N,Library loading error.
91,4.17.3,N,Library loading error.
92,4.17.4,N,Library loading error.
93,4.17.5,N,Library loading error.
94,4.17.6,N,Library loading error.
95,4.17.7,N,Library loading error.
96,4.17.8,N,Library loading error.
97,4.17.9,N,Library loading error.
98,4.2.0,Y,
99,4.3.0,Y,
100,4.3.1,Y,
101,4.4.0,Y,
102,4.5.0,Y,
103,4.6.0,Y,
104,4.7.0,Y,
105,4.7.1,Y,
106,4.7.2,Y,
107,4.8.0,Y,
108,4.8.1,Y,
109,4.9.0,N,Library loading error.
110,4.9.1,N,Library loading error.
111,4.9.2,N,Library loading error.
112,4.9.3,N,Library loading error.
113,4.9.4,N,Library loading error.
114,4.9.5,N,Library loading error.
115,4.9.6,N,Library loading error.
116,4.9.7,N,Library loading error.
117,4.9.8,N,Library loading error.
