,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.1.2,Y,
3,0.1.3,Y,
4,0.1.4,Y,
5,0.1.5,Y,
6,0.2.0,Y,
7,1.0.0,Y,
8,1.0.1,Y,
9,1.0.10,Y,
10,1.0.11,Y,
11,1.0.12,Y,
12,1.0.13,Y,
13,1.0.14,Y,
14,1.0.15,Y,
15,1.0.16,Y,
16,1.0.17,Y,
17,1.0.18,Y,
18,1.0.19,Y,
19,1.0.2,Y,
20,1.0.3,Y,
21,1.0.4,Y,
22,1.0.5,Y,
23,1.0.6,Y,
24,1.0.7,Y,
25,1.0.8,Y,
26,1.0.9,Y,
27,2.0.0-alpha.1,Y,
28,2.0.0-alpha.2,Y,
29,2.1.0,Y,
30,2.1.1,Y,
31,2.1.2,Y,
32,2.1.3,Y,
33,2.1.4,Y,
34,2.1.5,Y,
35,3.0.0,Y,
36,3.0.1,Y,
37,3.0.2,Y,
38,3.0.3,Y,
39,4.0.0,Y,
40,4.0.1,Y,
41,4.0.2,Y,
42,4.0.3,Y,
43,4.0.4,Y,
44,4.0.5,Y,
45,4.0.6,Y,
46,4.1.0,Y,
47,4.1.1,Y,
48,4.1.2,Y,
49,4.1.3,Y,
50,4.1.4,Y,
51,5.0.0,Y,
52,5.0.1,Y,
53,5.0.2,Y,
54,5.0.3,Y,
55,5.0.4,Y,
