,Version,Success,Description
0,0.1.0,N,Library loading error.
1,0.1.1,N,Library loading error.
2,0.1.2,N,Library loading error.
3,0.1.3,N,Library loading error.
4,0.1.4,N,Library loading error.
5,0.1.5,N,Library loading error.
6,0.1.6,N,Library loading error.
7,0.2.0,N,Library loading error.
8,0.2.1,N,Library loading error.
9,0.2.2,N,Library loading error.
10,0.2.3,N,Library loading error.
11,0.2.4,N,Library loading error.
12,0.2.5,N,Library loading error.
13,0.2.6,N,Library loading error.
14,0.2.7,N,Library loading error.
15,0.2.8,N,Library loading error.
16,0.2.9,N,Library loading error.
17,0.3.0,Y,
18,0.3.1,Y,
19,0.3.2,Y,
20,0.3.3,Y,
21,0.3.4,Y,
22,0.3.5,Y,
23,0.3.6,Y,
24,0.4.0,Y,
25,0.4.1,Y,
26,0.4.2,Y,
27,0.4.3,Y,
28,0.4.4,Y,
29,0.4.5,Y,
30,0.4.6,Y,
31,0.4.7,Y,
32,0.4.8,Y,
33,0.5.0,Y,
34,0.5.1,Y,
35,0.5.2,Y,
36,0.6.0,Y,
37,0.6.1,Y,
38,0.6.2,Y,
39,0.6.3,Y,
40,0.6.4,Y,
41,0.6.5,Y,
42,0.7.0,Y,
43,0.7.1,Y,
44,0.7.2,Y,
45,1.0.0,Y,
46,1.0.1,Y,
47,1.0.2,Y,
48,1.0.3,Y,
49,1.1.0,Y,
50,1.1.1,Y,
51,1.2.0,Y,
52,1.2.2,Y,
53,1.2.3,Y,
54,1.2.4,Y,
55,1.3.0,Y,
56,1.3.1,Y,
57,1.3.2,Y,
58,1.3.3,Y,
59,1.3.4,Y,
60,1.3.5,Y,
61,1.3.6,Y,
62,1.3.7,Y,
63,1.3.8,Y,
64,1.3.9,Y,
65,1.4.0,Y,
66,1.4.1,Y,
67,1.4.2,Y,
68,1.4.3,Y,
69,1.4.4,Y,
70,1.4.6,Y,
71,1.4.7,Y,
72,2.0.0,Y,
73,2.0.0-beta.0,Y,
74,2.0.0-beta.1,Y,
75,2.0.0-beta.2,Y,
76,2.0.0-beta.3,Y,
77,2.0.0-beta.4,Y,
78,2.0.0-beta.5,Y,
