,Version,Success,Description
0,1.0.1,N,Library loading error.
1,1.0.2,N,Library loading error.
2,1.1.0,N,Library loading error.
3,1.1.2,N,Library loading error.
4,1.2.0,N,Library loading error.
5,1.2.1,N,Library loading error.
6,1.2.1-pre1,N,Library loading error.
7,1.2.1-pre2,N,Library loading error.
8,1.2.1-pre3,N,Library loading error.
9,1.2.1-pre4,N,Library loading error.
10,1.2.1-pre5,N,Library loading error.
11,1.2.1-pre6,N,Library loading error.
12,1.2.2,N,Library loading error.
13,1.3.0,N,Library loading error.
14,1.3.0-16,N,Library loading error.
15,1.3.0-17,N,Library loading error.
16,1.3.0-18,N,Library loading error.
17,1.3.0-19,N,Library loading error.
18,1.3.0-20,N,Library loading error.
19,1.3.0-21,N,Library loading error.
20,1.3.0-22,N,Library loading error.
21,1.3.0-23,N,Library loading error.
22,1.3.0-pre1,N,Library loading error.
23,1.3.0-pre10,N,Library loading error.
24,1.3.0-pre11,N,Library loading error.
25,1.3.0-pre12,N,Library loading error.
26,1.3.0-pre13,N,Library loading error.
27,1.3.0-pre14,N,Library loading error.
28,1.3.0-pre15,N,Library loading error.
29,1.3.0-pre2,N,Library loading error.
30,1.3.0-pre3,N,Library loading error.
31,1.3.0-pre4,N,Library loading error.
32,1.3.0-pre5,N,Library loading error.
33,1.3.0-pre6,N,Library loading error.
34,1.3.0-pre7,N,Library loading error.
35,1.3.0-pre8,N,Library loading error.
36,1.3.0-pre9,N,Library loading error.
37,1.3.1,N,Library loading error.
38,1.3.10,N,Library loading error.
39,1.3.11,N,Library loading error.
40,1.3.2,N,Library loading error.
41,1.3.3,N,Library loading error.
42,1.3.4,N,Library loading error.
43,1.3.5,N,Library loading error.
44,1.3.6,N,Library loading error.
45,1.3.7,N,Library loading error.
46,1.3.8,N,Library loading error.
47,1.3.9,N,Library loading error.
48,1.4.0,N,Library loading error.
49,1.4.1,N,Library loading error.
50,1.4.2,N,Library loading error.
51,1.4.3,N,Library loading error.
52,1.4.4,N,Library loading error.
53,1.4.5,N,Library loading error.
54,1.4.6,N,Library loading error.
55,1.5.0,N,Library loading error.
56,1.5.1,N,Library loading error.
57,1.5.10,N,Library loading error.
58,1.5.11,N,Library loading error.
59,1.5.12,N,Library loading error.
60,1.5.13,N,Library loading error.
61,1.5.14,N,Library loading error.
62,1.5.15,N,Library loading error.
63,1.5.16,N,Library loading error.
64,1.5.2,N,Library loading error.
65,1.5.3,N,Library loading error.
66,1.5.4,N,Library loading error.
67,1.5.5,N,Library loading error.
68,1.5.6,N,Library loading error.
69,1.5.6-0,N,Library loading error.
70,1.5.7,N,Library loading error.
71,1.5.8,N,Library loading error.
72,1.5.9,N,Library loading error.
