,Version,Success,Description
0,1.0.0,Y,
1,1.0.0-rc.1,Y,
2,1.0.0-rc.2,Y,
3,1.0.0-rc.3,Y,
4,1.0.0-rc.4,Y,
5,1.0.0-rc.5,Y,
6,1.0.0-rc.6,Y,
7,1.0.0-rc.7,Y,
8,1.0.1,Y,
9,1.0.2,Y,
10,1.1.0,Y,
11,1.1.1,Y,
12,1.1.2,Y,
13,1.1.3,Y,
14,1.2.0,Y,
15,1.2.1,Y,
16,1.3.0,Y,
17,2.0.1,Y,
18,2.1.0,Y,
19,3.0.0,Y,
20,3.0.1,Y,
21,3.0.2,Y,
22,3.0.3,Y,
23,3.0.4,Y,
24,3.1.0,Y,
25,3.1.1,Y,
26,4.0.1,Y,
27,4.0.2,Y,
28,5.0.0,Y,
29,5.0.1,Y,
30,5.0.2,Y,
31,5.0.3,Y,
32,5.1.0,Y,
33,6.0.0,Y,
34,7.0.0,Y,
35,7.0.1,Y,
36,7.1.0,Y,
37,7.1.1,Y,
38,7.1.2,Y,
