,Version,Success,Description
0,0.0.10,Y,
1,0.0.11,Y,
2,0.0.12,Y,
3,0.0.13,Y,
4,0.0.14,Y,
5,0.0.15,Y,
6,0.0.16,Y,
7,0.0.17,Y,
8,0.0.18,Y,
9,0.0.19,Y,
10,0.0.20,Y,
11,0.0.21,Y,
12,0.0.22,Y,
13,0.0.23,Y,
14,0.0.24,Y,
15,0.0.25,Y,
16,0.0.26,Y,
17,0.0.27,Y,
18,0.0.28,Y,
19,0.0.29,Y,
20,0.0.30,Y,
21,0.0.31,Y,
22,0.0.32,Y,
23,0.0.33,Y,
24,0.0.34,Y,
25,0.0.35,Y,
26,0.0.36,Y,
27,0.0.37,Y,
28,0.0.38,Y,
29,0.0.39,Y,
30,0.0.5,Y,
31,0.0.6,Y,
32,0.0.7,Y,
33,0.0.8,Y,
34,0.0.9,Y,
35,1.0.0,Y,
36,1.1.0,Y,
37,1.1.1,Y,
38,1.1.2,Y,
39,1.1.3,Y,
40,1.1.4,Y,
41,1.1.5,Y,
42,1.1.6,Y,
43,1.2.0,Y,
44,1.2.1,Y,
45,1.2.2,Y,
46,1.2.3,Y,
47,1.3.0,Y,
48,1.4.0,Y,
49,1.4.1,Y,
50,1.4.2,Y,
51,1.4.3,Y,
52,1.4.4,Y,
53,1.4.5,Y,
54,1.4.6,Y,
55,1.4.7,Y,
56,1.4.8,Y,
57,1.4.9,Y,
58,1.5.0,Y,
59,1.5.1,Y,
60,1.5.2,Y,
61,1.5.3,Y,
62,1.5.4,Y,
63,1.6.0,Y,
64,1.6.1,Y,
65,1.6.11,Y,
66,1.6.13,Y,
67,1.6.14,Y,
68,1.6.15,Y,
69,1.6.16,Y,
70,1.6.17,Y,
71,1.6.18,Y,
72,1.6.19,Y,
73,1.6.2,Y,
74,1.6.20,Y,
75,1.6.4,Y,
76,1.6.5,Y,
77,1.6.6,Y,
78,1.6.7,Y,
79,1.6.8,Y,
80,1.6.9,Y,
81,2.0.0,Y,
82,2.0.0-alpha.1,Y,
83,2.0.0-alpha.2,Y,
84,2.2.0,Y,
85,3.0.0,Y,
86,3.0.2,Y,
