,Version,Success,Description
0,0.0.1,Y,
1,0.1.0,Y,
2,0.1.1,Y,
3,0.1.2,Y,
4,0.1.3,Y,
5,0.1.4,Y,
6,0.1.5,Y,
7,0.2.0,N,Library loading error.
8,0.2.1,N,Library loading error.
9,0.3.0,N,Library loading error.
10,0.3.1,N,Library loading error.
11,0.4.0,N,Library loading error.
12,1.0.0,N,Library loading error.
13,1.0.1,N,Library loading error.
14,1.1.0,N,Library loading error.
15,1.2.0,N,Library loading error.
16,1.3.0,N,Library loading error.
17,2.0.0,N,Library loading error.
18,2.0.0-alpha.1,N,Library loading error.
19,2.0.0-alpha.2,N,Library loading error.
20,3.0.0,N,Library loading error.
21,4.0.0,Y,
22,4.0.0-next.0,Y,
23,4.0.0-next.1,Y,
24,4.0.0-next.2,Y,
25,4.0.0-next.3,Y,
26,4.0.0-next.4,Y,
27,4.0.0-next.5,Y,
28,4.1.0,Y,
29,4.1.0-beta,Y,
30,4.1.1,Y,
